,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Voting,Voting,Voting,Voting,Unnamed: 8_level_0,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1,Kareem Abdul-Jabbar,28,LAL,52,409,925,0.442,82,41.2,27.7,16.9,5.0,1.5,4.1,0.529,,0.703,17.0,0.242
1,2,Bob McAdoo,24,BUF,47,393,925,0.425,78,42.7,31.1,12.4,4.0,1.2,2.1,0.487,,0.762,12.3,0.178
2,3,Dave Cowens,27,BOS,48,378,925,0.409,78,39.8,19.0,16.0,4.2,1.2,0.9,0.468,,0.756,10.7,0.165
3,4,Rick Barry,31,GSW,20,201,925,0.217,81,38.5,21.0,6.1,6.1,2.5,0.3,0.435,,0.923,9.6,0.148
4,5,George McGinnis,25,PHI,4,80,925,0.086,77,38.3,23.0,12.6,4.7,2.6,0.5,0.417,,0.74,8.5,0.139
5,6,Dave Bing,32,WSB,2,35,925,0.038,82,35.9,16.2,2.9,6.0,1.4,0.3,0.447,,0.787,6.3,0.102
6,7,Phil Smith,23,GSW,2,25,925,0.027,82,34.1,20.0,4.6,4.4,1.3,0.2,0.477,,0.788,9.4,0.161
7,8,Elvin Hayes,30,WSB,1,17,925,0.018,80,37.2,19.8,11.0,1.5,1.3,2.5,0.47,,0.628,8.1,0.131
8,9T,Jim Chones,26,CLE,2,13,925,0.014,82,33.4,15.8,9.0,2.0,0.5,1.1,0.448,,0.662,6.0,0.105
9,9T,Tiny Archibald,27,KCK,1,13,925,0.014,78,40.8,24.8,2.7,7.9,1.6,0.2,0.453,,0.802,8.0,0.121
10,11,Wes Unseld,29,WSB,0,12,925,0.013,78,37.5,9.6,13.3,5.2,1.1,0.8,0.561,,0.585,9.5,0.156
11,12,Earl Monroe,31,NYK,2,11,925,0.012,76,38.0,20.7,3.6,4.0,1.5,0.3,0.478,,0.787,7.2,0.119
12,13,Fred Brown,27,SEA,1,10,925,0.011,76,33.1,23.1,4.2,2.7,1.9,0.2,0.488,,0.869,8.8,0.167
13,14,Paul Silas,32,BOS,1,9,925,0.01,81,32.9,10.7,12.7,2.5,0.7,0.4,0.426,,0.709,7.2,0.129
14,15,Pete Maravich,28,NOJ,0,7,925,0.008,62,38.3,25.9,4.8,5.4,1.4,0.4,0.459,,0.811,7.1,0.144
15,16,Clifford Ray,27,GSW,0,6,925,0.006,82,26.6,6.9,9.5,1.8,1.0,1.0,0.525,,0.609,7.0,0.154
16,17T,Walt Frazier,30,NYK,1,5,925,0.005,59,41.1,19.1,6.8,5.9,1.8,0.2,0.485,,0.823,6.8,0.134
17,17T,Jamaal Wilkes,22,GSW,1,5,925,0.005,82,33.1,17.8,8.8,2.0,1.2,0.4,0.463,,0.772,8.3,0.147
18,17T,Phil Chenier,25,WSB,0,5,925,0.005,80,36.9,19.9,4.0,3.2,2.0,0.6,0.483,,0.827,8.8,0.143
19,20T,Doug Collins,24,PHI,0,3,925,0.003,77,38.9,20.8,4.0,2.5,1.4,0.3,0.513,,0.836,10.0,0.161
20,20T,John Drew,21,ATL,0,3,925,0.003,77,30.5,21.6,8.6,1.9,1.8,0.4,0.502,,0.744,10.6,0.216
21,20T,Steve Mix,28,PHI,0,3,925,0.003,81,37.5,13.9,8.2,2.7,2.0,0.4,0.499,,0.818,9.4,0.148
22,20T,Jo Jo White,29,BOS,0,3,925,0.003,82,39.7,18.9,3.8,5.4,1.3,0.2,0.449,,0.838,7.4,0.109
23,24T,Bob Dandridge,28,MIL,0,1,925,0.001,73,37.5,21.5,7.4,2.8,1.5,0.5,0.502,,0.824,9.0,0.158
24,24T,John Havlicek,35,BOS,0,1,925,0.001,76,34.2,17.0,4.1,3.7,1.3,0.4,0.45,,0.844,7.4,0.137
25,24T,Truck Robinson,24,WSB,0,1,925,0.001,82,25.1,11.2,6.8,1.4,0.5,1.3,0.454,,0.672,4.3,0.099
26,24T,Randy Smith,27,BUF,0,1,925,0.001,82,38.6,21.8,5.1,5.9,1.9,0.0,0.494,,0.817,9.4,0.143
27,24T,Norm Van Lier,28,CHI,0,1,925,0.001,76,39.8,12.6,5.4,6.6,2.0,0.3,0.366,,0.737,3.2,0.051
28,24T,Bill Walton,23,POR,0,1,925,0.001,51,33.1,16.1,13.4,4.3,1.0,1.6,0.471,,0.583,3.8,0.109
29,24T,Paul Westphal,25,PHO,0,1,925,0.001,82,36.1,20.5,3.2,5.4,2.6,0.5,0.494,,0.83,9.6,0.155
