,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards
0,1.0,Pete Maravich,29.0,NOJ,SG,73.0,,41.7,12.1,28.0,0.433,6.9,8.2,0.835,1.2,3.9,5.1,5.4,1.2,0.3,2.6,31.1,"MVP-3,AS,NBA1"
1,2.0,Billy Knight,24.0,IND,SF,78.0,77.0,40.0,10.7,21.6,0.493,5.3,6.5,0.816,2.9,4.6,7.5,3.3,1.5,0.2,2.5,26.6,AS
2,3.0,Kareem Abdul-Jabbar,29.0,LAL,C,82.0,82.0,36.8,10.8,18.7,0.579,4.6,6.5,0.701,3.2,10.0,13.3,3.9,1.2,3.2,3.2,26.2,"MVP-1,AS,NBA1,DEF2"
3,4.0,David Thompson,22.0,DEN,SG,82.0,82.0,36.6,10.0,19.8,0.507,5.8,7.6,0.766,1.7,2.4,4.1,4.1,1.4,0.6,2.9,25.9,"MVP-7,AS,NBA1"
4,5.0,Bob McAdoo,25.0,2TM,C,72.0,,38.9,10.3,20.1,0.512,5.3,7.2,0.738,2.8,10.1,12.9,2.8,1.1,1.4,3.6,25.8,AS
5,5.0,Bob McAdoo,25.0,BUF,C,20.0,,38.4,9.1,20.0,0.455,5.5,7.9,0.696,3.3,9.9,13.2,3.3,0.8,1.7,3.7,23.7,
6,5.0,Bob McAdoo,25.0,NYK,C,52.0,,39.1,10.7,20.1,0.534,5.2,6.9,0.757,2.6,10.2,12.7,2.7,1.2,1.3,3.6,26.7,
7,6.0,Bob Lanier,28.0,DET,C,64.0,,38.2,10.6,19.8,0.534,4.1,5.0,0.818,3.1,8.5,11.6,3.3,1.1,2.0,2.7,25.3,"MVP-4,AS"
8,7.0,John Drew,22.0,ATL,SF,74.0,,36.3,9.3,19.1,0.487,5.6,7.8,0.714,3.8,5.3,9.1,1.8,1.4,0.4,3.7,24.2,
9,8.0,Elvin Hayes,31.0,WSB,PF,82.0,,41.0,9.3,18.5,0.501,5.1,7.5,0.687,3.5,9.0,12.5,1.9,1.1,2.7,3.8,23.7,"MVP-7,AS,NBA1"
10,9.0,George Gervin,24.0,SAS,SF,82.0,82.0,33.0,8.9,16.3,0.544,5.4,6.5,0.833,1.6,3.9,5.5,2.9,1.3,1.3,3.5,23.1,"MVP-11,AS,NBA2"
11,10.0,Dan Issel,28.0,DEN,C,79.0,,31.7,8.4,16.2,0.515,5.6,7.1,0.797,2.7,6.1,8.8,2.2,1.2,0.4,3.1,22.3,AS
12,11.0,Ron Boone,30.0,KCK,SG,82.0,82.0,36.8,9.1,19.2,0.474,4.0,4.7,0.844,1.6,2.4,3.9,4.1,1.5,0.2,3.1,22.2,
13,12.0,Larry Kenon,24.0,SAS,PF,78.0,,37.6,9.1,18.4,0.492,3.8,4.6,0.823,3.6,7.7,11.3,2.9,2.1,0.8,2.4,21.9,
14,13.0,Rick Barry,32.0,GSW,SF,79.0,,36.8,8.6,19.6,0.44,4.5,5.0,0.916,0.9,4.4,5.3,6.0,2.2,0.7,2.5,21.8,AS
15,14.0,Julius Erving,26.0,PHI,SF,82.0,77.0,35.9,8.4,16.7,0.499,4.9,6.3,0.777,2.3,6.1,8.5,3.7,1.9,1.4,3.1,21.6,"MVP-5,AS,NBA2"
16,15.0,Rudy Tomjanovich,28.0,HOU,PF,81.0,,38.6,9.0,17.7,0.51,3.5,4.2,0.839,2.1,6.3,8.4,2.1,0.7,0.3,2.4,21.6,AS
17,16.0,George McGinnis,26.0,PHI,PF,79.0,78.0,35.1,8.3,18.2,0.458,4.7,6.9,0.681,4.1,7.4,11.5,3.8,2.1,0.5,3.8,21.4,"MVP-11,AS,NBA2"
18,17.0,Paul Westphal,26.0,PHO,PG,81.0,,32.1,8.4,16.3,0.518,4.5,5.4,0.825,0.7,1.6,2.3,5.7,1.7,0.3,2.1,21.3,"AS,NBA1"
19,18.0,Bob Dandridge,29.0,MIL,SF,70.0,,35.7,8.4,17.9,0.467,4.0,5.2,0.771,2.1,4.2,6.3,3.8,1.4,0.4,3.2,20.8,
20,19.0,John Williamson,25.0,2TM,SG,72.0,28.0,34.5,8.6,18.7,0.459,3.6,4.6,0.787,0.6,2.1,2.7,2.8,1.5,0.2,3.4,20.8,
21,19.0,John Williamson,25.0,NYN,SG,42.0,,34.0,8.5,19.1,0.445,3.8,4.9,0.789,0.6,2.3,2.8,2.1,1.4,0.1,3.4,20.8,
22,19.0,John Williamson,25.0,IND,SG,30.0,28.0,35.2,8.7,18.1,0.48,3.3,4.2,0.784,0.6,1.9,2.5,3.7,1.6,0.2,3.4,20.7,
23,20.0,Randy Smith,28.0,BUF,SG,82.0,,37.7,8.6,18.3,0.467,3.6,4.7,0.762,1.6,3.9,5.6,5.4,2.1,0.1,3.2,20.7,
24,21.0,Tiny Archibald,28.0,NYN,PG,34.0,,37.6,7.4,16.5,0.446,5.8,7.4,0.785,0.6,1.7,2.4,7.5,1.7,0.3,2.3,20.5,
25,22.0,Adrian Dantley,21.0,BUF,SF,77.0,,36.6,7.1,13.6,0.52,6.2,7.6,0.818,3.3,4.4,7.6,1.9,1.2,0.2,2.8,20.3,ROY-1
26,23.0,Phil Chenier,26.0,WSB,SG,78.0,,36.4,8.4,18.9,0.444,3.5,4.1,0.841,0.7,3.1,3.8,3.8,1.5,0.5,2.1,20.2,AS
27,24.0,Maurice Lucas,24.0,POR,PF,79.0,,36.2,8.0,17.2,0.466,4.2,5.5,0.765,3.4,7.9,11.4,2.9,1.1,0.7,3.7,20.2,"MVP-9,AS"
28,25.0,Earl Monroe,32.0,NYK,SG,77.0,,34.5,8.0,15.4,0.517,4.0,4.8,0.839,0.6,2.3,2.9,4.8,1.2,0.3,2.6,19.9,AS
29,26.0,Jo Jo White,30.0,BOS,PG,82.0,82.0,40.6,7.8,18.1,0.429,4.1,4.7,0.869,1.1,3.6,4.7,6.0,1.4,0.3,2.4,19.6,"MVP-11,AS,NBA2"
30,27.0,Bubbles Hawkins,22.0,NYN,SG,52.0,,28.5,7.8,17.5,0.447,3.7,5.4,0.688,1.3,1.7,3.0,1.8,1.5,0.5,3.1,19.3,
31,28.0,Brian Winters,24.0,MIL,SG,78.0,,34.8,8.4,16.8,0.498,2.6,3.1,0.847,0.8,2.1,3.0,4.3,1.5,0.4,2.9,19.3,
32,29.0,Truck Robinson,25.0,2TM,PF,77.0,,36.1,7.5,15.6,0.478,4.1,5.6,0.73,3.3,7.5,10.8,1.8,0.9,0.5,3.3,19.0,
33,29.0,Truck Robinson,25.0,WSB,PF,41.0,,32.4,6.4,13.5,0.478,3.1,4.6,0.677,2.9,6.0,8.9,1.1,0.7,0.4,3.0,16.0,
34,29.0,Truck Robinson,25.0,ATL,PF,36.0,,40.3,8.6,18.0,0.478,5.2,6.7,0.772,3.7,9.1,12.8,2.7,1.1,0.6,3.6,22.4,
35,30.0,Phil Smith,24.0,GSW,SG,82.0,82.0,35.1,7.7,16.1,0.479,3.6,4.6,0.785,1.2,2.8,4.0,4.0,1.2,0.4,2.8,19.0,AS
36,31.0,Artis Gilmore,27.0,CHI,C,82.0,82.0,35.1,7.0,13.3,0.522,4.7,7.1,0.66,3.8,9.2,13.0,2.4,0.5,2.5,3.2,18.6,MVP-10
37,32.0,Bill Walton,24.0,POR,C,65.0,,34.8,7.6,14.3,0.528,3.5,5.0,0.697,3.2,11.1,14.4,3.8,1.0,3.2,2.7,18.6,"MVP-2,AS,NBA2,DEF1"
38,33.0,Doug Collins,25.0,PHI,SG,58.0,47.0,35.1,7.3,14.2,0.518,3.6,4.3,0.84,1.1,2.3,3.4,4.7,1.2,0.3,3.0,18.3,AS
39,34.0,Charlie Scott,28.0,BOS,SG,43.0,,36.8,7.6,17.1,0.444,3.0,4.0,0.746,1.2,3.2,4.4,4.6,1.4,0.3,3.6,18.2,
40,35.0,Alvan Adams,22.0,PHO,C,72.0,,31.6,7.3,15.3,0.474,3.5,4.6,0.754,2.5,6.6,9.1,4.5,1.3,1.2,3.6,18.0,
41,36.0,Calvin Murphy,28.0,HOU,PG,82.0,,33.7,7.3,14.8,0.49,3.3,3.7,0.886,0.7,1.4,2.1,4.7,1.8,0.1,3.4,17.9,
42,37.0,John Havlicek,36.0,BOS,SF,79.0,,36.9,7.3,16.2,0.452,3.0,3.6,0.816,1.4,3.5,4.8,5.1,1.1,0.2,2.6,17.7,AS
43,38.0,Jamaal Wilkes,23.0,GSW,PF,76.0,,33.9,7.2,15.1,0.478,3.3,4.1,0.797,2.0,5.6,7.6,2.8,1.7,0.2,2.9,17.7,DEF2
44,39.0,Walt Frazier,31.0,NYK,PG,76.0,,35.4,7.0,14.3,0.489,3.4,4.4,0.771,0.7,3.2,3.9,5.3,1.7,0.1,2.6,17.4,
45,40.0,Mickey Johnson,24.0,CHI,PF,81.0,,35.1,6.6,14.9,0.446,4.0,5.0,0.796,3.7,6.6,10.2,2.4,1.3,0.8,3.9,17.3,
46,41.0,Fred Brown,28.0,SEA,SG,72.0,,29.1,7.4,15.5,0.479,2.3,2.6,0.884,0.9,2.3,3.2,2.4,1.7,0.3,1.9,17.2,
47,42.0,Brian Taylor,25.0,KCK,PG,72.0,,34.6,7.0,13.8,0.504,3.1,3.8,0.818,1.2,2.1,3.3,4.4,2.8,0.2,2.9,17.0,DEF2
48,43.0,Lou Hudson,32.0,ATL,SG,58.0,,30.1,7.1,15.6,0.456,2.4,2.9,0.84,0.8,1.4,2.2,2.7,1.2,0.3,2.8,16.7,
