,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Portland Trail Blazers*,25.3,58.0,24.0,57,25,6.15,-0.23,5.92,103.1,97.2,5.9,104.2,0.307,,0.528,,0.483,16.3,32.0,0.233,,0.449,16.3,69.4,0.239,,Memorial Coliseum,,618
1,2.0,Philadelphia 76ers*,26.2,55.0,27.0,54,28,5.15,-0.27,4.87,105.0,100.3,4.7,108.4,0.383,,0.539,,0.486,16.7,34.4,0.288,,0.461,16.2,66.4,0.232,,The Spectrum,,892
2,3.0,Phoenix Suns*,25.5,49.0,33.0,51,31,3.73,-0.24,3.5,100.3,97.0,3.3,111.4,0.297,,0.52,,0.476,16.6,29.8,0.223,,0.469,18.6,68.2,0.229,,Arizona Veterans Memorial Coliseum,,618
3,4.0,San Antonio Spurs*,26.9,52.0,30.0,49,33,3.35,-0.15,3.2,104.5,101.4,3.1,109.0,0.294,,0.547,,0.5,16.3,28.6,0.237,,0.472,15.7,65.9,0.185,,HemisFair Arena,,508
4,5.0,Los Angeles Lakers*,25.8,45.0,37.0,48,34,2.67,-0.08,2.59,103.3,100.8,2.5,106.1,0.273,,0.526,,0.487,15.3,30.4,0.205,,0.463,15.2,66.0,0.194,,The Forum,534017.0,698
5,6.0,Seattle SuperSonics*,26.0,47.0,35.0,45,37,1.55,-0.06,1.48,99.2,97.7,1.5,104.8,0.305,,0.489,,0.447,15.8,35.9,0.217,,0.459,16.5,69.9,0.226,,Seattle Center Coliseum,,636
6,7.0,Washington Bullets*,27.4,44.0,38.0,43,39,0.93,-0.1,0.82,101.3,100.5,0.8,108.1,0.342,,0.506,,0.461,15.3,33.5,0.243,,0.467,13.9,70.7,0.178,,Capital Centre,,870
7,8.0,Denver Nuggets*,25.2,48.0,34.0,43,39,0.83,-0.03,0.8,102.3,101.5,0.8,108.5,0.364,,0.531,,0.477,16.8,31.6,0.278,,0.472,15.5,68.3,0.223,,McNichols Sports Arena,,854
8,9.0,Cleveland Cavaliers*,27.8,43.0,39.0,42,40,0.48,-0.04,0.44,99.9,99.4,0.5,103.5,0.275,,0.496,,0.454,13.8,29.9,0.204,,0.456,14.7,68.8,0.207,,Coliseum at Richfield,,1202
