,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
0,1.0,Truck Robinson,26.0,NOJ,PF,82.0,82.0,3638.0,15.7,0.481,0.34,8.0,25.8,17.0,6.8,0.9,1.1,13.5,23.3,1.5,5.0,6.5,0.086,-0.5,-0.9,-1.5,0.5,"MVP-8,AS,NBA1"
1,2.0,Randy Smith,29.0,BUF,SG,82.0,82.0,3314.0,19.1,0.521,0.326,3.6,6.4,5.0,22.2,2.4,0.2,12.8,26.8,6.1,1.7,7.9,0.114,2.2,-0.7,1.5,2.9,AS
2,3.0,Elvin Hayes,32.0,WSB,PF,81.0,,3246.0,17.1,0.489,0.365,10.2,22.7,16.4,6.5,1.3,2.4,12.3,21.6,3.5,4.8,8.3,0.123,0.4,0.1,0.6,2.1,AS
3,4.0,Dave Cowens,29.0,BOS,C,77.0,,3215.0,18.6,0.533,0.233,8.0,25.6,17.0,15.7,1.4,1.1,13.9,18.8,6.1,4.8,10.8,0.162,2.1,1.3,3.4,4.4,AS
4,5.0,Bob McAdoo,26.0,NYK,C,79.0,,3182.0,22.0,0.567,0.412,7.8,24.7,16.4,13.4,1.4,2.0,15.8,26.1,6.9,4.0,10.9,0.165,2.9,0.1,3.0,4.0,"MVP-10,AS"
5,6.0,Bernard King,21.0,NJN,SF,79.0,,3092.0,17.3,0.511,0.277,7.9,16.0,11.8,9.9,1.7,0.6,14.3,26.0,2.6,3.3,5.9,0.092,1.0,-0.9,0.1,1.6,ROY-3
6,7.0,Artis Gilmore,28.0,CHI,C,82.0,82.0,3067.0,23.5,0.604,0.531,11.3,26.6,19.0,14.0,0.6,3.2,19.1,25.3,7.8,3.7,11.5,0.18,3.8,0.3,4.1,4.7,"MVP-8,AS,DEF2"
7,8.0,David Thompson,23.0,DEN,SG,80.0,,3025.0,23.2,0.578,0.422,5.5,7.7,6.6,19.3,1.3,1.7,11.5,26.8,10.8,1.9,12.7,0.202,5.5,-0.7,4.8,5.2,"MVP-3,AS,NBA1"
8,9.0,Rick Barry,33.0,GSW,SF,82.0,82.0,3024.0,20.9,0.509,0.243,2.5,12.8,7.5,22.6,2.4,0.8,10.7,27.1,5.9,3.8,9.7,0.154,2.9,0.7,3.6,4.3,AS
9,10.0,Ricky Sobers,25.0,IND,PG,79.0,79.0,3019.0,15.4,0.514,0.328,2.9,7.8,5.3,27.7,2.5,0.4,20.1,21.8,2.4,2.4,4.8,0.076,0.1,-0.4,-0.3,1.3,
10,11.0,Scott Wedman,25.0,KCK,SF,81.0,,2961.0,15.9,0.55,0.213,5.0,11.1,8.0,9.7,1.5,0.4,10.8,18.8,6.0,1.9,7.8,0.127,1.3,-0.5,0.8,2.1,
11,12.0,Phil Smith,25.0,GSW,SG,82.0,82.0,2940.0,16.5,0.522,0.283,3.4,7.1,5.2,19.6,1.7,0.5,14.7,24.1,3.8,2.5,6.3,0.102,1.0,-0.7,0.3,1.7,
12,13.0,John Lucas,24.0,HOU,PG,82.0,82.0,2933.0,16.4,0.481,0.264,1.8,7.6,4.6,34.8,2.6,0.2,16.8,17.3,4.3,0.9,5.2,0.085,1.5,-0.5,1.0,2.3,
13,14.0,Adrian Dantley,22.0,2TM,SF,79.0,23.0,2933.0,20.9,0.595,0.603,9.2,12.0,10.6,11.8,1.8,0.4,13.8,21.7,9.6,2.5,12.2,0.199,3.9,-0.4,3.5,4.1,
14,14.0,Adrian Dantley,22.0,IND,SF,23.0,23.0,948.0,23.4,0.587,0.653,9.4,12.8,11.1,10.2,2.2,0.9,11.4,23.2,3.5,0.9,4.5,0.225,5.1,0.2,5.3,1.7,
15,14.0,Adrian Dantley,22.0,LAL,SF,56.0,,1985.0,19.8,0.599,0.575,9.1,11.6,10.4,12.6,1.6,0.2,15.1,21.0,6.1,1.6,7.7,0.186,3.4,-0.7,2.6,2.3,
16,15.0,Marvin Webster,25.0,SEA,C,82.0,,2910.0,17.0,0.543,0.542,12.1,24.6,18.1,9.6,0.8,3.0,19.6,17.2,3.7,5.0,8.7,0.143,0.7,0.8,1.5,2.6,MVP-10
17,16.0,Jim Chones,28.0,CLE,C,82.0,82.0,2906.0,14.9,0.503,0.225,7.6,22.0,14.7,6.5,0.8,1.0,13.1,19.2,2.6,3.8,6.4,0.105,-0.2,-0.4,-0.6,1.0,
18,17.0,Calvin Murphy,29.0,HOU,SG,76.0,,2900.0,19.5,0.525,0.154,2.0,4.0,3.0,14.9,1.8,0.1,8.5,27.9,7.5,-0.1,7.4,0.122,2.6,-1.3,1.3,2.4,
19,18.0,Wilbur Holland,26.0,CHI,SG,82.0,,2884.0,14.1,0.483,0.217,4.0,7.1,5.6,16.8,2.7,0.3,13.7,22.8,2.2,2.2,4.4,0.073,-0.7,-0.2,-0.9,0.8,
20,19.0,Mickey Johnson,25.0,CHI,PF,81.0,,2870.0,17.4,0.526,0.367,8.3,19.7,14.0,14.4,1.5,1.3,16.1,23.6,4.4,2.9,7.2,0.121,1.0,-0.2,0.8,2.0,
21,20.0,Larry Kenon,25.0,SAS,SF,81.0,,2869.0,19.0,0.533,0.227,9.4,18.5,14.1,13.1,1.8,0.4,15.1,24.9,4.5,3.0,7.5,0.126,1.7,-1.2,0.5,1.8,AS
22,21.0,George Gervin,25.0,SAS,SG,82.0,82.0,2857.0,24.7,0.594,0.377,4.5,10.6,7.7,16.1,2.1,1.9,14.0,29.5,9.2,2.7,12.0,0.201,4.8,0.0,4.8,4.9,"MVP-2,AS,NBA1"
23,22.0,Dan Issel,29.0,DEN,C,82.0,,2851.0,21.5,0.571,0.425,9.5,20.1,14.9,16.1,1.6,0.7,14.5,23.9,7.9,3.1,11.1,0.186,3.4,-0.4,3.0,3.6,
24,23.0,Kevin Porter,27.0,2TM,PG,82.0,,2813.0,15.7,0.516,0.303,1.8,5.8,3.7,41.6,1.9,0.3,23.1,20.4,2.3,1.9,4.2,0.072,0.7,-1.0,-0.3,1.2,
25,23.0,Kevin Porter,27.0,DET,PG,8.0,,127.0,13.3,0.504,0.419,4.2,8.1,6.2,36.1,1.8,0.0,24.6,14.7,0.2,0.1,0.2,0.091,-1.5,-0.3,-1.9,0.0,
26,23.0,Kevin Porter,27.0,NJN,PG,74.0,,2686.0,15.8,0.516,0.3,1.7,5.7,3.6,41.9,1.9,0.3,23.1,20.7,2.1,1.8,4.0,0.071,0.8,-1.1,-0.2,1.2,
27,24.0,John Havlicek,37.0,BOS,SF,82.0,,2797.0,14.3,0.495,0.221,3.5,8.5,6.0,17.1,1.5,0.4,13.3,21.3,2.9,2.1,5.1,0.087,0.2,-0.4,-0.2,1.3,AS
28,25.0,Bob Wilkerson,23.0,DEN,SF,81.0,,2780.0,10.0,0.448,0.224,3.8,13.4,8.8,20.9,2.0,0.4,22.2,18.2,-1.9,2.6,0.7,0.011,-2.5,-0.3,-2.8,-0.6,
29,26.0,Norm Nixon,22.0,LAL,PG,81.0,,2779.0,14.1,0.518,0.161,1.6,7.0,4.4,26.0,2.2,0.1,19.0,18.5,2.3,2.1,4.5,0.078,-0.6,-0.3,-0.9,0.8,ROY-5
30,27.0,Swen Nater,28.0,BUF,C,78.0,,2778.0,16.9,0.543,0.274,10.8,28.8,19.9,11.4,0.7,0.9,16.8,19.2,4.0,2.8,6.8,0.117,1.1,-0.8,0.3,1.6,
31,28.0,Bob Dandridge,30.0,WSB,SF,75.0,,2777.0,16.1,0.528,0.352,4.9,10.9,7.9,14.7,1.6,0.8,14.9,21.9,4.2,2.6,6.8,0.118,0.8,0.3,1.1,2.2,
32,29.0,Mike Bantom,26.0,IND,SF,82.0,78.0,2775.0,14.8,0.525,0.327,6.3,15.3,10.7,12.2,1.6,0.9,15.4,19.2,3.3,2.6,5.9,0.102,0.1,0.0,0.1,1.5,
33,30.0,Doug Collins,26.0,PHI,SG,79.0,77.0,2770.0,16.9,0.568,0.269,3.3,5.0,4.2,16.9,2.0,0.5,15.5,22.1,5.6,2.0,7.6,0.132,1.5,-0.5,0.9,2.1,AS
34,31.0,Marques Johnson,21.0,MIL,SF,80.0,,2765.0,21.3,0.563,0.34,10.9,21.6,16.2,9.5,1.5,1.9,11.2,21.4,7.7,3.0,10.6,0.185,3.3,-0.5,2.7,3.3,"MVP-10,ROY-2"
35,32.0,John Shumate,25.0,2TM,PF,80.0,,2760.0,16.0,0.593,0.657,6.1,19.8,13.0,8.8,1.5,1.0,18.9,17.2,4.9,2.8,7.7,0.134,0.9,0.1,1.1,2.1,
36,32.0,John Shumate,25.0,BUF,PF,18.0,,590.0,14.2,0.576,0.656,5.9,17.3,11.6,13.4,1.1,0.8,19.1,16.3,0.9,0.4,1.3,0.106,0.4,-0.1,0.3,0.3,
37,32.0,John Shumate,25.0,DET,PF,62.0,,2170.0,16.5,0.597,0.658,6.1,20.4,13.4,7.5,1.6,1.0,18.8,17.4,4.0,2.4,6.4,0.142,1.1,0.2,1.3,1.8,
38,33.0,Brian Winters,25.0,MIL,SG,80.0,,2751.0,16.4,0.503,0.201,3.3,6.4,4.8,20.2,2.0,0.5,13.0,25.1,3.7,1.4,5.1,0.089,0.6,-1.2,-0.6,1.0,AS
39,34.0,Lionel Hollins,24.0,POR,PG,81.0,,2741.0,14.3,0.482,0.25,3.1,7.3,5.3,19.6,2.6,0.6,15.3,22.7,1.5,3.7,5.2,0.091,-0.6,0.6,-0.1,1.3,"AS,DEF1"
40,35.0,John Williamson,26.0,2TM,SG,75.0,38.0,2731.0,15.1,0.488,0.237,2.3,5.9,4.0,12.5,1.5,0.2,11.1,27.9,2.0,1.4,3.4,0.059,-0.2,-1.6,-1.7,0.2,
41,35.0,John Williamson,26.0,IND,SG,42.0,38.0,1449.0,12.0,0.464,0.203,2.2,5.9,4.0,14.0,1.4,0.0,12.8,25.8,0.0,0.6,0.6,0.021,-1.9,-2.0,-3.9,-0.7,
42,35.0,John Williamson,26.0,NJN,SG,33.0,,1282.0,18.5,0.509,0.269,2.3,6.0,4.0,10.9,1.6,0.4,9.6,30.4,2.0,0.8,2.8,0.103,1.8,-1.1,0.7,0.9,
43,36.0,Ron Boone,31.0,KCK,SG,82.0,,2653.0,14.0,0.504,0.297,4.3,6.1,5.2,16.8,1.8,0.2,17.4,25.0,1.3,1.3,2.6,0.047,-0.3,-1.6,-1.9,0.0,
44,37.0,Wes Unseld,31.0,WSB,C,80.0,,2644.0,14.4,0.535,0.352,10.6,25.2,17.9,15.3,1.6,0.8,23.4,10.5,2.8,3.9,6.8,0.123,1.0,2.0,2.9,3.3,
45,38.0,Walter Davis,23.0,PHO,SF,81.0,,2590.0,22.1,0.577,0.312,6.2,13.2,9.6,16.5,1.9,0.4,14.3,28.5,6.7,3.4,10.1,0.187,3.7,-0.4,3.3,3.5,"MVP-5,ROY-1,AS,NBA2"
46,39.0,Chris Ford,29.0,DET,SG,82.0,,2582.0,12.9,0.51,0.198,4.8,6.0,5.4,19.7,2.9,0.3,21.5,16.0,1.4,2.2,3.6,0.067,-0.5,0.6,0.1,1.4,
47,40.0,Gus Williams,24.0,SEA,PG,79.0,,2572.0,18.1,0.491,0.208,3.1,7.1,5.1,18.0,3.3,0.9,11.5,24.4,3.8,3.9,7.7,0.143,1.2,1.9,3.1,3.3,
48,41.0,Eric Money,22.0,DET,PG,76.0,,2557.0,15.4,0.531,0.248,3.8,4.8,4.3,21.1,2.1,0.2,19.5,24.7,2.0,1.6,3.6,0.067,0.2,-1.2,-1.1,0.6,
49,42.0,M.L. Carr,27.0,DET,SF,79.0,,2556.0,13.6,0.502,0.316,8.4,14.3,11.4,9.8,2.6,0.5,17.7,17.8,1.7,2.8,4.5,0.085,-0.4,0.4,0.0,1.3,
50,43.0,Gail Goodrich,34.0,NOJ,SG,81.0,,2553.0,16.2,0.545,0.316,2.9,3.8,3.3,21.8,1.4,0.4,14.6,20.8,4.9,1.4,6.3,0.118,1.1,-0.8,0.3,1.5,
51,44.0,Don Buse,27.0,PHO,PG,82.0,82.0,2547.0,12.5,0.5,0.217,2.3,7.8,5.0,18.5,3.1,0.3,15.3,11.8,2.4,3.6,6.0,0.113,-1.1,2.1,1.0,1.9,DEF1
52,45.0,George McGinnis,27.0,PHI,PF,78.0,76.0,2533.0,20.3,0.521,0.452,11.7,20.4,16.2,17.0,2.4,0.5,17.0,27.4,4.1,3.8,7.9,0.15,2.0,-0.2,1.8,2.5,
53,46.0,Armond Hill,24.0,ATL,PG,82.0,82.0,2530.0,11.0,0.48,0.305,2.5,7.7,5.0,23.4,2.8,0.4,22.4,17.0,-0.1,2.7,2.6,0.05,-2.0,0.5,-1.6,0.3,
54,47.0,Norm Van Lier,30.0,CHI,PG,78.0,,2524.0,11.7,0.495,0.48,3.7,8.5,6.1,27.6,2.7,0.1,25.7,12.4,1.8,2.0,3.8,0.073,-1.3,0.7,-0.6,0.9,DEF2
55,48.0,Earl Tatum,24.0,2TM,SG,82.0,40.0,2522.0,14.7,0.5,0.18,3.1,8.5,5.8,16.9,2.5,0.8,13.6,20.5,2.2,2.2,4.4,0.085,-0.4,0.6,0.2,1.4,
56,48.0,Earl Tatum,24.0,LAL,SG,25.0,,663.0,15.9,0.516,0.188,3.7,10.0,6.9,14.8,2.5,0.8,13.5,23.1,0.7,0.7,1.4,0.099,-0.3,0.5,0.2,0.4,
57,48.0,Earl Tatum,24.0,IND,SG,57.0,40.0,1859.0,14.2,0.493,0.177,2.9,8.0,5.4,17.6,2.5,0.8,13.6,19.5,1.5,1.5,3.1,0.079,-0.4,0.6,0.2,1.1,
58,49.0,Campy Russell,26.0,CLE,SF,72.0,,2520.0,18.2,0.509,0.402,6.1,12.3,9.2,16.4,1.6,0.2,13.0,24.9,4.0,2.6,6.6,0.127,1.9,-0.2,1.7,2.3,
59,50.0,Henry Bibby,28.0,PHI,PG,82.0,82.0,2518.0,11.7,0.492,0.332,2.6,7.3,5.0,23.0,1.6,0.1,16.8,13.6,2.9,1.7,4.7,0.089,-0.4,-0.3,-0.7,0.8,
60,51.0,Foots Walker,26.0,CLE,PG,81.0,,2496.0,14.2,0.496,0.345,3.1,8.9,6.0,23.7,3.3,0.5,19.7,14.6,1.9,3.4,5.2,0.101,-1.0,2.1,1.1,1.9,
61,52.0,Paul Westphal,27.0,PHO,SG,80.0,,2481.0,23.8,0.565,0.311,1.7,5.2,3.4,28.5,2.4,0.6,13.6,30.9,6.9,2.9,9.8,0.19,4.7,0.0,4.7,4.2,"MVP-6,AS,NBA2"
62,53.0,Billy Paultz,29.0,SAS,C,80.0,,2479.0,19.8,0.568,0.313,7.6,20.4,14.3,11.5,0.7,3.8,13.0,20.0,5.6,3.0,8.6,0.166,2.2,0.7,2.9,3.0,
63,54.0,Dwight Jones,25.0,HOU,PF,82.0,,2476.0,12.5,0.496,0.3,9.0,18.8,13.7,5.8,1.5,0.8,15.8,16.8,1.8,1.3,3.1,0.06,-1.0,-1.0,-2.0,0.0,
64,55.0,Charlie Scott,29.0,2TM,SG,79.0,,2473.0,12.3,0.48,0.262,2.6,7.5,5.1,20.6,2.0,0.3,17.7,21.2,0.4,2.0,2.4,0.046,-1.6,-0.3,-1.9,0.1,
65,55.0,Charlie Scott,29.0,BOS,SG,31.0,,1080.0,12.3,0.469,0.243,2.3,7.1,4.8,19.3,2.1,0.3,16.4,23.0,-0.1,1.0,0.8,0.037,-1.8,-0.3,-2.0,0.0,
66,55.0,Charlie Scott,29.0,LAL,SG,48.0,,1393.0,12.3,0.49,0.279,2.9,7.8,5.4,21.6,1.9,0.4,18.9,19.8,0.5,1.0,1.6,0.053,-1.4,-0.4,-1.8,0.1,
67,56.0,Bobby Jones,26.0,DEN,PF,75.0,,2440.0,19.8,0.616,0.364,7.2,19.2,13.4,14.5,2.5,2.6,18.0,16.9,5.3,3.6,8.9,0.175,2.7,2.0,4.7,4.1,"AS,DEF1"
68,57.0,Julius Erving,27.0,PHI,SF,74.0,68.0,2429.0,21.7,0.555,0.297,7.7,12.2,10.0,17.3,2.5,2.0,14.7,25.1,6.0,3.1,9.1,0.179,4.0,0.7,4.8,4.1,"MVP-10,AS,NBA1"
69,58.0,Dan Roundfield,24.0,IND,PF,79.0,60.0,2423.0,18.0,0.534,0.348,10.8,21.7,16.1,11.4,1.5,3.2,16.3,18.4,3.6,3.3,6.9,0.138,1.0,0.9,1.9,2.4,
70,59.0,Dave Meyers,24.0,MIL,PF,80.0,,2416.0,15.4,0.522,0.464,6.2,17.5,11.7,12.9,1.6,1.0,15.9,21.1,2.9,2.1,5.0,0.099,0.1,-0.5,-0.4,1.0,
71,60.0,Sidney Wicks,28.0,BOS,PF,81.0,,2413.0,13.9,0.505,0.355,9.6,18.5,14.2,10.1,1.3,1.0,17.4,20.8,1.4,2.8,4.2,0.084,-1.0,-0.1,-1.1,0.5,
72,61.0,George Johnson,29.0,NJN,C,81.0,,2411.0,11.6,0.438,0.257,9.4,22.6,15.7,6.0,1.4,5.9,21.6,15.7,-2.2,4.2,2.0,0.04,-3.7,2.0,-1.7,0.2,
73,62.0,James Edwards,22.0,2TM,C,83.0,52.0,2405.0,14.7,0.494,0.385,8.0,17.3,12.6,5.1,1.0,1.7,11.7,22.9,2.1,2.3,4.5,0.089,-1.0,-1.2,-2.2,-0.1,
74,62.0,James Edwards,22.0,LAL,C,25.0,,723.0,14.3,0.499,0.396,6.5,18.6,12.7,5.4,1.0,1.9,13.3,23.1,0.4,0.8,1.2,0.079,-1.6,-0.9,-2.5,-0.1,
75,62.0,James Edwards,22.0,IND,C,58.0,52.0,1682.0,14.8,0.492,0.381,8.6,16.7,12.6,4.9,1.0,1.5,11.0,22.8,1.8,1.5,3.3,0.094,-0.7,-1.4,-2.1,0.0,
76,63.0,Earl Monroe,33.0,NYK,SG,76.0,,2369.0,16.9,0.541,0.259,2.1,5.8,4.0,21.2,1.1,0.4,12.5,22.9,5.0,0.7,5.8,0.117,1.6,-1.7,-0.1,1.1,
77,64.0,John Gianelli,27.0,MIL,C,82.0,,2327.0,11.7,0.507,0.196,7.4,15.9,11.5,10.1,1.0,2.0,17.7,13.5,1.4,1.8,3.2,0.066,-0.6,0.0,-0.6,0.8,
78,65.0,Steve Hawes,27.0,ATL,PF,75.0,,2325.0,16.1,0.5,0.251,8.2,24.7,16.2,12.1,1.6,1.5,13.5,19.0,2.7,3.5,6.1,0.127,0.9,0.3,1.2,1.9,
79,66.0,Lonnie Shelton,22.0,NYK,PF,82.0,,2319.0,17.4,0.549,0.279,9.3,16.5,12.9,11.4,2.1,2.5,17.0,21.8,3.2,2.7,5.9,0.122,0.4,0.5,0.9,1.7,
