,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
0,1.0,Adrian Dantley,25.0,UTA,SF,80.0,,3417.0,24.3,0.622,0.004,0.482,6.5,10.5,8.5,16.3,1.6,0.3,12.5,28.4,12.3,1.3,13.6,0.191,5.7,-1.4,4.3,5.4,"MVP-12,AS,NBA2"
1,2.0,Moses Malone,25.0,HOU,C,80.0,,3245.0,25.1,0.585,0.002,0.52,16.1,24.5,20.3,6.6,1.2,2.6,14.0,27.6,9.5,4.2,13.7,0.202,4.5,-1.2,3.3,4.3,"MVP-4,AS,NBA2"
2,3.0,Larry Bird,24.0,BOS,PF,82.0,82.0,3239.0,19.9,0.528,0.049,0.218,7.0,23.8,15.7,20.4,2.4,1.1,14.9,24.3,4.7,6.1,10.8,0.16,2.5,1.8,4.3,5.2,"MVP-2,AS,NBA1"
3,4.0,Mike Mitchell,25.0,CLE,SF,82.0,82.0,3194.0,17.5,0.513,0.005,0.215,7.1,10.5,8.7,6.9,0.9,0.9,8.2,26.9,5.0,1.1,6.0,0.091,1.9,-2.2,-0.3,1.3,"MVP-24,AS"
4,5.0,Michael Ray Richardson,25.0,NYK,SG,79.0,,3175.0,17.1,0.511,0.091,0.303,6.0,13.9,9.8,27.5,3.5,0.6,19.3,20.0,2.2,4.7,6.9,0.104,1.4,1.9,3.2,4.2,"MVP-17,AS,DEF1"
5,6.0,Alex English,27.0,DEN,SF,81.0,,3093.0,19.7,0.549,0.003,0.295,8.8,12.6,10.7,13.4,1.5,1.6,12.1,24.0,6.7,1.6,8.3,0.129,3.1,-1.0,2.2,3.2,
6,7.0,Truck Robinson,29.0,PHO,PF,82.0,82.0,3088.0,14.9,0.531,0.0,0.309,7.9,20.1,14.1,9.6,1.0,0.7,14.7,21.5,2.4,5.3,7.6,0.119,-0.3,-0.4,-0.7,1.0,"MVP-19,AS"
7,8.0,Jamaal Wilkes,27.0,LAL,SF,81.0,,3028.0,18.0,0.556,0.009,0.224,5.6,9.8,7.8,11.2,1.9,0.5,11.2,24.5,5.5,3.0,8.5,0.135,1.4,-0.8,0.5,1.9,"MVP-10,AS"
8,9.0,Kareem Abdul-Jabbar,33.0,LAL,C,80.0,,2976.0,25.5,0.616,0.001,0.379,7.6,21.5,15.0,13.6,0.9,4.0,12.8,26.3,9.6,4.6,14.3,0.23,4.7,1.4,6.1,6.1,"MVP-3,AS,NBA1,DEF1"
9,10.0,Robert Reid,25.0,HOU,SF,82.0,82.0,2963.0,16.4,0.522,0.004,0.272,6.1,15.9,11.0,16.1,2.6,1.2,13.7,19.8,3.6,3.6,7.2,0.116,0.8,1.3,2.1,3.0,
10,11.0,Norm Nixon,25.0,LAL,PG,79.0,,2962.0,15.5,0.511,0.01,0.208,2.5,5.8,4.2,30.9,2.3,0.2,17.7,21.8,2.8,2.7,5.5,0.089,0.3,-1.0,-0.6,1.0,MVP-21
11,12.0,Elvin Hayes,35.0,WSB,PF,81.0,,2931.0,14.9,0.483,0.008,0.339,8.4,20.0,14.1,4.8,1.1,3.2,11.3,23.0,0.1,4.9,5.1,0.083,-1.6,0.6,-1.1,0.7,
12,13.0,Bill Cartwright,23.0,NYK,C,82.0,,2925.0,18.4,0.611,0.001,0.463,6.1,18.3,12.0,5.6,0.8,1.6,12.9,21.5,6.9,3.1,10.0,0.164,1.6,-0.5,1.1,2.3,
13,14.0,Jack Sikma,25.0,SEA,C,82.0,82.0,2920.0,18.0,0.512,0.004,0.315,7.1,24.6,16.0,13.2,1.3,1.7,11.9,23.6,3.5,4.5,8.0,0.132,0.9,0.5,1.4,2.5,"MVP-15,AS"
14,15.0,Joe Barry Carroll,22.0,GSW,C,82.0,,2919.0,16.4,0.534,0.002,0.351,10.3,18.7,14.4,5.8,0.8,2.3,14.4,23.0,3.7,2.0,5.7,0.094,0.0,-1.3,-1.3,0.5,ROY-5
15,16.0,Bernard King,24.0,GSW,SF,81.0,,2914.0,19.9,0.617,0.005,0.351,6.7,14.4,10.5,15.1,1.2,0.7,15.6,23.2,7.7,1.4,9.1,0.15,3.5,-0.7,2.8,3.6,MVP-14
16,17.0,Mike Newlin,32.0,NJN,SG,79.0,,2911.0,15.6,0.571,0.024,0.366,3.0,5.6,4.2,15.5,1.4,0.2,14.4,23.4,4.8,1.3,6.1,0.1,0.6,-1.4,-0.8,0.9,
17,18.0,Scott Wedman,28.0,KCK,SF,81.0,,2902.0,14.8,0.503,0.054,0.142,4.9,11.6,8.3,11.7,1.6,0.9,9.5,24.1,1.7,2.9,4.7,0.077,-0.4,-0.7,-1.1,0.7,
18,19.0,Julius Erving,30.0,PHI,SF,82.0,82.0,2874.0,25.1,0.572,0.012,0.352,10.0,14.6,12.5,19.8,2.8,2.8,13.1,28.4,7.8,6.1,13.8,0.231,5.2,2.3,7.5,6.9,"MVP-1,AS,NBA1"
19,20.0,Darrell Griffith,22.0,UTA,SG,81.0,,2867.0,14.7,0.496,0.034,0.207,3.2,8.3,5.8,11.4,1.8,0.8,12.1,28.8,-0.8,1.1,0.4,0.006,-1.0,-2.2,-3.2,-0.9,ROY-1
