,PLAYER_NAME,TEAM_ABBREVIATION,PIE
226,Jimmy Oliver,WAS,0.4
403,Tom Chambers,PHI,0.389
115,David Robinson,SAS,0.207
242,Karl Malone,UTA,0.203
368,Shaquille O'Neal,LAL,0.185
321,Patrick Ewing,NYK,0.175
303,Michael Jordan,CHI,0.175
396,Tim Duncan,SAS,0.175
418,Troy Hudson,UTA,0.164
180,Grant Hill,DET,0.164
29,Arvydas Sabonis,POR,0.163
234,John Stockton,UTA,0.158
9,Alonzo Mourning,MIA,0.155
70,Charles Barkley,HOU,0.154
170,Gary Payton,SEA,0.152
397,Tim Hardaway,MIA,0.152
404,Tom Gugliotta,MIN,0.15
346,Rod Strickland,WAS,0.147
89,Chris Webber,WAS,0.147
188,Hakeem Olajuwon,HOU,0.146
253,Kevin Garnett,MIN,0.146
388,Terrell Brandon,MIL,0.145
134,Dikembe Mutombo,ATL,0.144
110,Danny Manning,PHX,0.142
107,Dana Barros,BOS,0.14
308,Mitch Richmond,SAC,0.14
68,Cedric Ceballos,DAL,0.138
438,Zydrunas Ilgauskas,CLE,0.138
169,Gary Grant,POR,0.138
132,Detlef Schrempf,SEA,0.137
354,Sam Cassell,NJN,0.137
427,Vlade Divac,CHH,0.136
343,Rik Smits,IND,0.136
324,Pete Myers,NYK,0.135
314,Nick Anderson,ORL,0.135
288,Mark Jackson,IND,0.135
8,Allen Iverson,PHI,0.135
18,Anthony Mason,CHH,0.134
213,Jason Kidd,PHX,0.134
130,Derrick Coleman,PHI,0.132
363,Scottie Pippen,CHI,0.132
91,Christian Laettner,ATL,0.131
27,Antonio McDyess,PHX,0.13
52,Brevin Knight,CLE,0.13
297,Matt Geiger,CHH,0.129
315,Nick Van Exel,LAL,0.129
217,Jeff Hornacek,UTA,0.128
335,Reggie Miller,IND,0.128
372,Shawn Kemp,CLE,0.127
214,Jason Lawson,ORL,0.127
369,Shareef Abdur-Rahim,VAN,0.127
302,Michael Finley,DAL,0.127
23,Antoine Walker,BOS,0.126
54,Brian Grant,POR,0.126
406,Toni Kukoc,CHI,0.126
215,Jayson Williams,NJN,0.125
40,Bison Dele,DET,0.125
267,Lawrence Funderburke,SAC,0.124
111,Darrell Armstrong,ORL,0.123
423,Vin Baker,SEA,0.122
75,Charlie Ward,NYK,0.122
97,Clyde Drexler,HOU,0.122
432,Will Perdue,SAS,0.121
183,Greg Anthony,SEA,0.121
311,Mookie Blaylock,ATL,0.121
257,Kevin Willis,HOU,0.121
393,Terry Porter,MIN,0.12
254,Kevin Johnson,PHX,0.12
129,Derek Strong,ORL,0.119
125,Derek Anderson,CLE,0.119
283,Mario Bennett,LAL,0.119
421,Tyus Edney,BOS,0.119
265,Larry Robinson,VAN,0.118
151,Eddie Jones,LAL,0.118
376,Sherman Douglas,NJN,0.118
104,Damon Stoudamire,POR,0.117
431,Wesley Person,CLE,0.117
385,Steven Smith,ATL,0.117
172,George Lynch,VAN,0.117
263,Lamond Murray,LAC,0.116
123,Dennis Rodman,CHI,0.116
178,Glenn Robinson,MIL,0.116
293,Marko Milic,PHX,0.116
291,Mark Strickland,MIA,0.116
260,Kobe Bryant,LAL,0.116
157,Eric Murdock,MIA,0.115
384,Steve Nash,PHX,0.115
28,Armen Gilliam,MIL,0.115
194,Horace Grant,ORL,0.114
290,Mark Price,ORL,0.114
177,Glen Rice,CHH,0.113
251,Kerry Kittles,NJN,0.113
367,Shandon Anderson,UTA,0.112
14,Anfernee Hardaway,ORL,0.112
205,Jalen Rose,IND,0.111
101,Cory Alexander,DEN,0.111
413,Tracy McGrady,TOR,0.111
87,Chris Mullin,IND,0.11
171,Gary Trent,TOR,0.11
414,Tracy Murray,WAS,0.11
