,Player,Team,G,PTS,AST,TRB,Stocks,eFG%,MP,PER,TS%,USG%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Kevin Durant,Oklahoma City Thunder,78.0,27.7,2.7,6.8,2.1,0.509,3038.0,23.6,0.589,30.6,12.0,4.9,5.3,0.6707,82.0,0.157,0.9512,2011
1,LeBron James,Miami Heat,79.0,26.7,7.0,7.5,2.2,0.541,3063.0,27.3,0.594,31.5,15.6,8.1,7.8,0.7073,82.0,0.431,0.9634,2011
2,Carmelo Anthony,New York Knicks,77.0,25.6,2.9,7.3,1.5,0.487,2751.0,21.7,0.557,32.0,7.9,1.9,2.7,0.5122,82.0,0,0.939,2011
3,Dwyane Wade,Miami Heat,76.0,25.5,4.6,6.4,2.6,0.523,2823.0,25.6,0.581,31.6,12.8,6.6,6.1,0.7073,82.0,0.02,0.9268,2011
4,Kobe Bryant,Los Angeles Lakers,82.0,25.3,4.7,5.1,1.3,0.487,2779.0,23.9,0.548,35.1,10.3,5.2,5.0,0.6951,82.0,0.354,1.0,2011
5,Amar'e Stoudemire,New York Knicks,78.0,25.3,2.6,8.2,2.8,0.505,2870.0,22.7,0.565,30.9,8.0,1.4,2.4,0.5122,82.0,0.007,0.9512,2011
6,Derrick Rose,Chicago Bulls,81.0,25.0,7.7,4.1,1.6,0.485,3026.0,23.5,0.55,32.2,13.1,6.8,6.7,0.7561,82.0,0.977,0.9878,2011
7,Monta Ellis,Golden State Warriors,80.0,24.1,5.6,3.5,2.4,0.493,3227.0,18.6,0.536,28.1,6.0,0.8,2.3,0.439,82.0,0,0.9756,2011
8,Kevin Martin,Houston Rockets,80.0,23.5,2.5,3.2,1.2,0.506,2603.0,21.4,0.601,29.6,9.5,3.4,3.5,0.5244,82.0,0,0.9756,2011
9,Dirk Nowitzki,Dallas Mavericks,73.0,23.0,2.6,7.0,1.1,0.545,2504.0,23.4,0.612,28.2,11.1,5.1,4.5,0.6951,82.0,0.093,0.8902,2011
10,Dwight Howard,Orlando Magic,78.0,22.9,1.4,14.1,3.8,0.593,2935.0,26.1,0.616,27.2,14.4,5.3,5.4,0.6341,82.0,0.531,0.9512,2011
11,Blake Griffin,Los Angeles Clippers,82.0,22.5,3.8,12.1,1.3,0.508,3112.0,21.9,0.549,27.3,9.8,2.6,3.6,0.3902,82.0,0.004,1.0,2011
13,Russell Westbrook,Oklahoma City Thunder,82.0,21.9,8.2,4.6,2.3,0.454,2847.0,23.6,0.538,31.6,9.4,4.2,4.4,0.6707,82.0,0,1.0,2011
14,LaMarcus Aldridge,Portland Trail Blazers,81.0,21.8,2.1,8.8,2.2,0.501,3211.0,21.5,0.549,25.7,11.1,2.1,3.4,0.5854,82.0,0,0.9878,2011
15,Andrea Bargnani,Toronto Raptors,66.0,21.4,1.8,5.2,1.2,0.48,2353.0,16.4,0.533,28.2,2.5,-1.4,0.4,0.2683,82.0,0,0.8049,2011
16,Danny Granger,Indiana Pacers,79.0,20.5,2.6,5.4,1.9,0.487,2763.0,17.8,0.554,26.7,6.9,2.1,2.9,0.4512,82.0,0,0.9634,2011
17,Brook Lopez,New Jersey Nets,82.0,20.4,1.6,6.0,2.1,0.492,2889.0,19.3,0.549,27.3,6.3,0.6,1.9,0.2927,82.0,0,1.0,2011
18,Kevin Love,Minnesota Timberwolves,73.0,20.2,2.5,15.2,1.0,0.513,2611.0,24.3,0.593,22.9,11.4,4.4,4.2,0.2073,82.0,0,0.8902,2011
19,Deron Williams,New Jersey Nets,65.0,20.1,10.3,4.0,1.4,0.493,2465.0,21.1,0.566,25.8,7.3,3.0,3.1,0.2927,82.0,0,0.7927,2011
