,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,James Harden,Houston Rockets,68.0,48.4,2.7,0.543,29.1,0.626,13.1,9.6,7.3,0.6111,72.0,0.363,0.9444,2020
2,Damian Lillard,Portland Trail Blazers,66.0,42.3,1.4,0.563,26.9,0.627,11.6,7.5,5.9,0.473,74.0,0.023,0.8919,2020
3,Trae Young,Atlanta Hawks,60.0,43.2,1.2,0.519,23.9,0.595,5.9,3.9,3.1,0.2985,67.0,0,0.8955,2020
4,Giannis Antetokounmpo,Milwaukee Bucks,63.0,48.7,2.0,0.589,31.9,0.613,11.1,11.5,6.6,0.7671,73.0,0.952,0.863,2020
5,Luka Dončić,Dallas Mavericks,61.0,47.0,1.2,0.531,27.6,0.585,8.8,8.4,5.4,0.5733,75.0,0.198,0.8133,2020
9,Devin Booker,Phoenix Suns,70.0,37.3,1.0,0.544,20.6,0.618,7.5,2.2,2.6,0.4658,73.0,0,0.9589,2020
11,Anthony Davis,Los Angeles Lakers,62.0,38.6,3.8,0.536,27.4,0.61,11.1,8.0,5.4,0.7324,71.0,0.081,0.8732,2020
12,Zach LaVine,Chicago Bulls,60.0,34.5,2.0,0.526,19.4,0.568,4.0,2.5,2.4,0.3385,65.0,0,0.9231,2020
13,LeBron James,Los Angeles Lakers,67.0,43.3,1.7,0.55,25.5,0.577,9.8,8.4,6.1,0.7324,71.0,0.746,0.9437,2020
14,Donovan Mitchell,Utah Jazz,69.0,32.7,1.2,0.513,18.8,0.558,5.4,1.9,2.3,0.6111,72.0,0,0.9583,2020
15,Brandon Ingram,New Orleans Pelicans,62.0,34.1,1.6,0.531,18.8,0.587,5.1,2.1,2.2,0.4167,72.0,0,0.8611,2020
16,Jayson Tatum,Boston Celtics,66.0,33.4,2.3,0.527,20.4,0.567,6.9,4.0,3.4,0.6667,72.0,0.001,0.9167,2020
19,Pascal Siakam,Toronto Raptors,60.0,33.7,1.9,0.512,17.9,0.554,5.4,1.8,2.0,0.7361,72.0,0.017,0.8333,2020
21,CJ McCollum,Portland Trail Blazers,70.0,30.8,1.4,0.522,17.0,0.541,4.1,0.5,1.6,0.473,74.0,0,0.9459,2020
22,DeMar DeRozan,San Antonio Spurs,68.0,33.2,1.3,0.535,21.6,0.603,7.3,1.9,2.3,0.4507,71.0,0,0.9577,2020
23,Andrew Wiggins,Golden State Warriors,54.0,30.6,1.8,0.504,16.4,0.536,1.9,-0.3,0.8,0.2308,65.0,0,0.8308,2020
27,Khris Middleton,Milwaukee Bucks,62.0,31.4,1.0,0.575,21.1,0.619,7.9,4.1,2.9,0.7671,73.0,0,0.8493,2020
29,Collin Sexton,Cleveland Cavaliers,65.0,26.9,1.1,0.517,16.3,0.56,2.5,-1.8,0.1,0.2923,65.0,0,1.0,2020
30,Spencer Dinwiddie,Brooklyn Nets,64.0,30.9,0.9,0.476,17.8,0.541,4.8,1.8,1.9,0.4861,72.0,0,0.8889,2020
34,Bojan Bogdanović,Utah Jazz,63.0,26.4,0.6,0.548,15.6,0.603,4.2,0.1,1.1,0.6111,72.0,0,0.875,2020
35,Jimmy Butler,Miami Heat,58.0,32.6,2.4,0.474,23.6,0.585,9.0,5.4,3.7,0.6027,73.0,0.009,0.7945,2020
36,Nikola Jokić,Denver Nuggets,73.0,36.6,1.8,0.565,24.9,0.605,9.8,7.4,5.5,0.6301,73.0,0.018,1.0,2020
37,T.J. Warren,Indiana Pacers,67.0,25.5,1.7,0.581,18.4,0.61,6.5,1.1,1.7,0.6164,73.0,0,0.9178,2020
38,Tobias Harris,Philadelphia 76ers,72.0,29.7,1.3,0.527,17.2,0.556,6.2,0.8,1.8,0.589,73.0,0,0.9863,2020
