,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
0,1.0,Tyrese Maxey,25.0,PHI,PG,48.0,48.0,1866.0,22.8,0.6,0.41,0.271,0.8,11.4,6.0,29.5,2.5,2.0,9.0,28.8,5.1,2.1,7.2,0.184,5.5,0.8,6.3,3.8,
1,2.0,Amen Thompson,23.0,HOU,PG,48.0,48.0,1798.0,18.2,0.567,0.125,0.345,8.5,14.3,11.4,21.1,1.9,1.5,13.3,20.5,3.5,2.3,5.8,0.155,1.3,0.9,2.2,1.9,
2,3.0,Scottie Barnes,24.0,TOR,PF,50.0,50.0,1724.0,19.3,0.574,0.209,0.274,7.0,20.2,13.5,24.6,1.8,4.5,13.8,24.1,2.0,2.8,4.9,0.136,1.7,2.1,3.7,2.5,
3,4.0,Toumani Camara,25.0,POR,PF,51.0,51.0,1721.0,10.3,0.564,0.666,0.161,5.4,11.6,8.5,11.0,1.4,1.2,14.8,16.1,0.9,1.2,2.1,0.057,-1.4,-0.6,-2.0,0.0,
4,5.0,Trey Murphy III,25.0,NOP,SF,48.0,48.0,1720.0,18.3,0.606,0.512,0.24,3.1,14.7,8.8,15.6,2.1,0.8,9.2,22.8,3.2,1.0,4.2,0.118,2.7,-0.8,1.9,1.7,
5,6.0,Mikal Bridges,29.0,NYK,SF,50.0,50.0,1717.0,16.9,0.605,0.443,0.094,3.5,10.0,6.7,17.2,2.1,2.5,7.3,17.4,3.8,2.0,5.8,0.162,2.4,1.4,3.8,2.5,
6,7.0,Julius Randle,31.0,MIN,PF,51.0,51.0,1705.0,20.2,0.6,0.301,0.402,5.3,17.1,11.3,24.7,1.6,0.6,12.3,26.6,3.9,2.1,6.0,0.169,2.5,0.2,2.7,2.0,
7,8.0,Dyson Daniels,22.0,ATL,SG,50.0,50.0,1689.0,14.1,0.519,0.138,0.164,7.0,14.1,10.5,24.8,2.6,1.2,15.4,16.1,1.2,2.0,3.2,0.092,-1.4,1.3,-0.2,0.8,
8,9.0,DeMar DeRozan,36.0,SAC,PF,51.0,51.0,1686.0,18.0,0.602,0.157,0.412,1.6,9.4,5.4,18.5,1.8,0.6,6.9,22.2,3.8,0.4,4.2,0.12,0.8,-0.6,0.3,0.9,
9,10.0,Brandon Ingram,28.0,TOR,SF,49.0,49.0,1672.0,16.3,0.566,0.287,0.267,2.7,16.7,9.6,17.1,1.2,2.2,11.7,27.3,0.7,2.0,2.7,0.078,0.8,-0.4,0.4,1.0,
