,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Oklahoma City Thunder,52,242.4,38.1,88.2,0.432,14.4,38.8,0.372,23.7,49.3,0.48,17.2,22.9,0.75,12.2,33.5,45.7,24.9,7.5,4.3,17.3,21.2,107.9
1,2.0,Boston Celtics,51,241.0,38.4,86.7,0.443,14.0,38.8,0.361,24.4,47.8,0.51,17.8,22.5,0.79,11.5,30.7,42.3,25.1,5.9,4.3,13.4,18.5,108.6
2,3.0,Detroit Pistons,49,241.0,37.3,84.7,0.441,12.5,36.1,0.346,24.8,48.5,0.512,22.7,28.6,0.794,11.5,30.0,41.5,22.8,9.3,5.7,17.4,21.9,109.9
3,4.0,Houston Rockets,49,243.6,40.6,88.4,0.46,12.2,35.2,0.348,28.4,53.2,0.534,16.6,22.0,0.753,11.3,28.4,39.7,24.6,8.7,4.8,13.4,20.6,110.1
4,5.0,Phoenix Suns,51,240.5,40.3,86.1,0.468,12.2,35.3,0.346,28.1,50.8,0.553,18.8,24.1,0.78,12.3,31.5,43.8,25.0,8.3,4.3,16.9,19.3,111.6
5,6.0,San Antonio Spurs,50,240.5,41.0,90.1,0.455,13.2,36.5,0.36,27.8,53.6,0.52,16.6,21.2,0.783,10.5,32.8,43.2,26.4,7.7,4.6,13.7,20.9,111.8
6,7.0,New York Knicks,51,241.0,39.8,86.6,0.46,13.9,38.6,0.361,25.9,48.0,0.54,18.5,24.0,0.774,10.2,31.4,41.6,24.6,7.1,4.5,14.2,19.4,112.1
7,8.0,Toronto Raptors,52,241.9,39.9,86.3,0.462,12.7,37.0,0.344,27.1,49.3,0.551,20.0,25.0,0.801,11.1,32.5,43.7,24.5,8.0,5.3,15.8,19.6,112.5
8,9.0,Los Angeles Clippers,50,241.5,41.0,87.9,0.467,13.7,37.1,0.37,27.3,50.8,0.537,17.3,21.7,0.801,11.6,30.4,42.0,26.3,9.2,4.7,13.3,19.7,113.1
9,10.0,Golden State Warriors,51,241.0,41.8,89.0,0.47,12.6,35.6,0.354,29.2,53.3,0.548,17.7,22.2,0.796,11.8,33.3,45.1,26.7,8.5,4.1,16.1,19.0,114.0
10,11.0,Charlotte Hornets,51,241.5,42.3,89.5,0.473,13.2,36.1,0.366,29.1,53.4,0.545,16.3,20.3,0.801,10.3,29.3,39.6,27.3,8.4,4.5,12.5,20.5,114.2
11,12.0,Minnesota Timberwolves,52,241.4,41.5,89.8,0.462,12.4,35.0,0.355,29.1,54.9,0.53,19.3,24.9,0.773,11.2,32.0,43.2,26.2,8.1,3.9,14.9,20.9,114.8
12,13.0,Brooklyn Nets,49,241.5,42.3,85.6,0.494,12.5,32.9,0.379,29.8,52.7,0.565,17.9,22.9,0.781,10.1,32.9,43.0,27.6,8.8,4.8,13.6,19.7,114.9
13,14.0,Philadelphia 76ers,50,244.0,42.1,89.6,0.469,12.8,36.3,0.354,29.2,53.3,0.548,18.3,23.6,0.775,11.9,32.8,44.7,27.5,7.2,5.2,15.5,20.4,115.3
14,15.0,Cleveland Cavaliers,52,241.0,41.4,89.4,0.464,13.9,37.2,0.373,27.6,52.2,0.528,19.0,23.7,0.8,11.4,32.7,44.1,26.7,8.7,4.4,16.0,20.1,115.8
15,16.0,Orlando Magic,49,241.5,42.2,87.4,0.483,12.0,32.9,0.364,30.2,54.5,0.555,19.5,25.0,0.781,10.6,32.9,43.5,25.7,7.9,5.4,15.0,22.0,115.9
16,17.0,Milwaukee Bucks,49,241.5,41.2,88.4,0.467,14.3,38.7,0.371,26.9,49.7,0.541,19.3,24.8,0.777,11.2,33.8,45.0,27.1,8.3,4.1,13.3,18.3,116.1
17,18.0,Denver Nuggets,52,242.9,42.4,90.6,0.468,13.2,37.5,0.351,29.3,53.1,0.551,18.2,23.6,0.774,11.9,31.2,43.1,26.7,7.6,4.6,11.9,21.3,116.2
18,19.0,Los Angeles Lakers,49,240.0,42.7,88.1,0.485,13.7,37.2,0.369,29.0,50.9,0.57,17.0,21.5,0.789,11.0,30.0,41.0,27.6,8.8,3.5,14.7,21.4,116.2
19,20.0,Dallas Mavericks,50,242.5,43.5,94.1,0.462,12.0,35.6,0.336,31.5,58.4,0.539,17.6,22.6,0.779,12.4,34.6,46.9,26.8,9.1,5.0,13.4,21.1,116.5
20,21.0,Memphis Grizzlies,49,241.0,42.5,91.4,0.465,14.3,39.9,0.358,28.2,51.6,0.546,17.8,22.5,0.789,11.9,33.1,45.0,26.9,8.7,5.0,14.6,20.4,117.0
21,22.0,Miami Heat,52,240.5,43.0,93.5,0.46,14.0,40.0,0.35,29.1,53.5,0.543,18.0,22.3,0.807,11.9,35.4,47.3,27.3,8.3,5.3,15.8,20.3,118.0
22,23.0,Portland Trail Blazers,51,241.0,42.9,90.6,0.473,12.9,36.1,0.358,29.9,54.4,0.55,19.5,24.4,0.797,12.4,31.3,43.7,27.1,10.8,6.2,15.1,22.1,118.1
