,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Oklahoma City Thunder,25.2,42.0,14.0,45,11,11.66,-0.47,11.19,119.4,107.8,11.6,99.3,0.271,0.419,0.602,,0.563,11.1,21.9,0.222,,0.517,14.8,73.8,0.191,,Paycom Center,528203,18203
1,2.0,Detroit Pistons,26.0,40.0,13.0,39,14,7.96,-1.06,6.9,117.2,109.2,8.0,99.7,0.3,0.355,0.579,,0.542,13.1,30.6,0.226,,0.515,15.2,74.0,0.263,,Little Caesars Arena,547736,19532
2,3.0,Boston Celtics,26.8,35.0,19.0,38,16,6.91,-0.93,5.98,120.7,113.5,7.2,95.1,0.202,0.465,0.579,,0.551,10.8,29.3,0.16,,0.524,12.1,74.1,0.203,,TD Garden,517212,19156
3,4.0,New York Knicks,28.2,35.0,20.0,37,18,6.16,-0.63,5.53,120.0,113.8,6.2,97.8,0.243,0.438,0.588,,0.554,11.9,29.5,0.192,,0.538,12.7,76.5,0.211,,Madison Square Garden (IV),554314,19797
4,5.0,San Antonio Spurs,25.6,38.0,16.0,36,18,5.96,0.12,6.09,117.7,111.8,5.9,100.2,0.286,0.419,0.588,,0.55,12.0,25.8,0.224,,0.529,11.9,77.3,0.183,,Frost Bank Center,466491,18660
5,6.0,Houston Rockets,26.6,33.0,20.0,35,18,5.02,-0.21,4.81,118.0,112.8,5.2,95.8,0.269,0.34,0.568,,0.534,13.3,35.8,0.203,,0.528,12.2,74.1,0.19,,Toyota Center,451440,18058
6,7.0,Minnesota Timberwolves,27.9,34.0,22.0,36,20,4.93,-0.71,4.22,118.1,113.2,4.9,100.8,0.289,0.427,0.596,,0.564,12.6,26.3,0.216,,0.532,13.1,74.8,0.215,,Target Center,490913,16928
7,8.0,Cleveland Cavaliers,26.7,34.0,21.0,34,21,4.07,-0.21,3.86,118.4,114.3,4.1,101.0,0.251,0.448,0.59,,0.556,12.4,27.3,0.197,,0.541,13.7,73.6,0.212,,Rocket Arena,563528,19432
8,9.0,Denver Nuggets,27.7,35.0,20.0,34,21,4.02,-0.85,3.17,122.2,118.1,4.1,97.4,0.299,0.401,0.614,,0.574,11.5,23.7,0.242,,0.541,10.5,73.7,0.201,,Ball Arena,515364,19822
9,10.0,Miami Heat,26.5,29.0,27.0,32,24,2.41,0.21,2.62,114.7,112.4,2.3,104.0,0.264,0.397,0.57,,0.533,11.9,25.3,0.207,,0.532,13.2,74.6,0.193,,Kaseya Center,531160,19673
10,11.0,Charlotte Hornets,23.9,26.0,29.0,31,24,1.89,-0.46,1.43,117.6,115.7,1.9,97.8,0.255,0.466,0.586,,0.547,13.9,29.8,0.209,,0.545,11.3,76.6,0.185,,Spectrum Center,473541,18213
11,12.0,Golden State Warriors,29.1,29.0,26.0,31,24,1.84,0.23,2.07,115.3,113.5,1.8,99.8,0.242,0.508,0.588,,0.553,13.7,24.8,0.196,,0.542,14.1,73.2,0.2,,Chase Center,505792,18064
12,13.0,Phoenix Suns,27.3,32.0,23.0,31,24,1.78,0.3,2.08,115.7,113.9,1.8,98.0,0.228,0.447,0.574,,0.542,13.2,28.8,0.181,,0.542,14.8,71.4,0.223,,Mortgage Matchup Center,477988,17071
13,14.0,Toronto Raptors,24.7,32.0,23.0,30,25,1.53,-0.28,1.25,114.7,113.2,1.5,98.4,0.256,0.375,0.573,,0.537,12.4,26.1,0.2,,0.536,14.0,73.8,0.227,,Scotiabank Arena,542087,18693
14,15.0,Philadelphia 76ers,25.5,30.0,24.0,27,27,0.26,-0.18,0.08,115.9,115.6,0.3,98.7,0.284,0.397,0.575,,0.531,12.1,27.0,0.231,,0.544,13.5,72.2,0.208,,Xfinity Mobile Arena,548570,18916
15,16.0,Los Angeles Lakers,27.9,33.0,21.0,27,27,-0.02,-0.2,-0.22,117.5,117.5,0.0,98.7,0.322,0.401,0.608,,0.57,13.7,24.5,0.248,,0.563,13.0,74.5,0.193,,Crypto.com Arena,471802,18872
16,17.0,Orlando Magic,24.6,28.0,25.0,26,27,-0.19,0.27,0.08,114.6,114.7,-0.1,99.8,0.305,0.381,0.573,,0.528,12.1,25.3,0.244,,0.55,13.5,75.4,0.224,,Kia Center,514675,18625
17,18.0,Los Angeles Clippers,30.6,26.0,28.0,26,28,-0.43,0.28,-0.15,116.1,116.6,-0.5,95.8,0.297,0.42,0.6,,0.555,14.0,23.8,0.247,,0.543,12.3,72.9,0.197,,Intuit Dome,422756,17615
18,19.0,Atlanta Hawks,24.9,26.0,30.0,26,30,-1.32,0.47,-0.86,114.4,115.7,-1.3,102.2,0.23,0.428,0.581,,0.551,12.4,22.4,0.178,,0.55,13.6,73.0,0.209,,State Farm Arena,406165,16247
19,20.0,Portland Trail Blazers,24.8,27.0,29.0,25,31,-1.96,0.91,-1.06,114.7,116.6,-1.9,101.1,0.281,0.467,0.57,,0.532,14.5,31.5,0.217,,0.547,13.1,72.4,0.219,,Moda Center,487458,16809
20,21.0,Memphis Grizzlies,25.3,20.0,33.0,23,30,-2.21,0.06,-2.14,113.6,115.7,-2.1,101.1,0.257,0.423,0.57,,0.532,13.1,26.1,0.205,,0.547,12.9,73.8,0.195,,FedExForum,395974,15102
21,22.0,Dallas Mavericks,26.3,19.0,35.0,21,33,-3.46,0.11,-3.36,111.0,114.3,-3.3,101.7,0.282,0.355,0.566,,0.531,12.7,22.4,0.211,,0.531,11.5,73.7,0.185,,American Airlines Center,576798,19227
22,23.0,Milwaukee Bucks,27.4,23.0,30.0,21,32,-3.4,-0.11,-3.5,113.7,117.2,-3.5,97.7,0.229,0.437,0.591,,0.566,13.3,20.7,0.169,,0.545,11.8,74.7,0.219,,Fiserv Forum,406742,16948
23,24.0,Chicago Bulls,25.7,24.0,31.0,21,34,-3.84,-0.21,-4.04,114.6,118.3,-3.7,101.5,0.238,0.442,0.585,,0.552,12.7,23.1,0.188,,0.554,10.9,76.0,0.19,,United Center,547240,20268
24,25.0,New Orleans Pelicans,23.9,15.0,41.0,19,37,-5.82,0.75,-5.07,113.6,119.3,-5.7,100.0,0.273,0.356,0.563,,0.524,12.2,26.8,0.214,,0.558,12.7,71.3,0.2,,Smoothie King Center,478547,16502
25,26.0,Indiana Pacers,26.1,15.0,40.0,16,39,-7.45,0.64,-6.81,109.8,117.1,-7.3,100.7,0.264,0.411,0.557,,0.521,12.5,22.4,0.202,,0.548,12.1,74.3,0.235,,Gainbridge Fieldhouse,463339,16548
26,27.0,Brooklyn Nets,23.6,15.0,38.0,15,38,-7.26,-0.08,-7.35,110.8,118.3,-7.5,96.6,0.274,0.469,0.564,,0.526,14.1,25.3,0.212,,0.565,12.6,74.8,0.211,,Barclays Center,470586,17429
