,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
0,1.0,Luka Dončić,26.0,LAL,PG,48.0,48.0,35.4,10.3,21.8,0.473,3.7,10.2,0.36,6.6,11.6,0.573,0.558,8.1,10.5,0.772,0.7,7.0,7.7,8.6,1.4,0.5,4.0,2.4,32.5,AS
1,2.0,Shai Gilgeous-Alexander,27.0,OKC,PG,51.0,51.0,33.3,10.9,19.9,0.551,1.7,4.5,0.381,9.2,15.3,0.601,0.594,8.2,9.2,0.892,0.5,3.9,4.4,6.4,1.4,0.8,2.1,2.0,31.8,AS
2,3.0,Anthony Edwards,24.0,MIN,SG,51.0,51.0,35.6,10.2,20.8,0.493,3.4,8.5,0.398,6.8,12.2,0.559,0.575,5.6,7.1,0.785,0.6,4.5,5.2,3.7,1.4,0.8,2.8,1.8,29.5,AS
3,4.0,Tyrese Maxey,25.0,PHI,PG,58.0,58.0,38.5,10.1,21.9,0.462,3.4,8.9,0.376,6.8,13.0,0.521,0.538,5.5,6.2,0.891,0.3,3.8,4.1,6.8,2.0,0.8,2.4,2.2,29.1,AS
4,5.0,Jaylen Brown,29.0,BOS,SF,54.0,54.0,34.3,10.7,22.2,0.482,2.1,5.9,0.349,8.6,16.3,0.531,0.529,5.5,7.1,0.778,1.1,6.0,7.1,5.0,1.0,0.4,3.6,2.7,29.0,AS
5,6.0,Nikola Jokić,30.0,DEN,C,45.0,45.0,34.5,10.2,17.8,0.57,2.0,4.9,0.401,8.2,12.9,0.635,0.626,6.5,7.8,0.824,3.1,9.5,12.6,10.5,1.4,0.8,3.7,2.7,28.8,AS
6,7.0,Donovan Mitchell,29.0,CLE,SG,55.0,55.0,33.5,9.9,20.6,0.483,3.5,9.4,0.369,6.5,11.2,0.578,0.567,5.2,6.1,0.852,0.7,3.7,4.5,5.8,1.6,0.3,3.1,2.4,28.5,AS
7,8.0,Giannis Antetokounmpo,31.0,MIL,PF,30.0,30.0,29.2,10.5,16.2,0.645,0.5,1.3,0.395,10.0,15.0,0.666,0.66,6.5,9.9,0.658,2.8,7.2,10.0,5.6,0.9,0.7,3.3,2.6,28.0,AS
8,9.0,Kawhi Leonard,34.0,LAC,SF,45.0,45.0,32.7,9.7,19.7,0.493,2.6,7.0,0.376,7.1,12.8,0.557,0.56,5.8,6.5,0.904,1.0,5.3,6.3,3.7,2.0,0.5,2.2,1.2,27.9,AS
9,10.0,Stephen Curry,37.0,GSW,PG,39.0,39.0,31.3,8.9,19.1,0.468,4.5,11.5,0.391,4.4,7.6,0.584,0.585,4.9,5.2,0.931,0.4,3.1,3.5,4.8,1.1,0.4,2.8,1.9,27.2,AS
10,11.0,Jalen Brunson,29.0,NYK,PG,56.0,56.0,34.6,9.5,20.1,0.47,2.9,7.6,0.38,6.6,12.6,0.525,0.542,4.9,5.8,0.843,0.5,3.0,3.4,6.1,0.7,0.1,2.3,2.4,26.7,AS
11,12.0,Lauri Markkanen,28.0,UTA,PF,42.0,42.0,34.4,9.1,19.2,0.477,2.7,7.7,0.355,6.4,11.5,0.559,0.548,5.7,6.4,0.896,2.0,4.9,6.9,2.1,1.0,0.5,1.5,1.8,26.7,
12,13.0,Joel Embiid,31.0,PHI,C,33.0,33.0,31.2,9.0,18.2,0.495,1.3,4.0,0.318,7.7,14.2,0.545,0.53,7.3,8.5,0.858,2.0,5.5,7.5,3.9,0.6,1.1,3.0,2.1,26.6,
13,14.0,Kevin Durant,37.0,HOU,SF,56.0,56.0,36.6,9.2,18.1,0.51,2.4,5.9,0.399,6.9,12.2,0.564,0.575,5.4,6.1,0.888,0.6,4.9,5.4,4.6,0.8,0.9,3.1,2.0,26.2,AS
14,15.0,Cade Cunningham,24.0,DET,PG,53.0,53.0,35.0,9.0,19.6,0.46,2.0,6.0,0.332,7.0,13.6,0.516,0.511,5.5,6.7,0.81,0.9,4.9,5.8,9.8,1.5,0.9,3.8,3.2,25.5,AS
15,16.0,Jamal Murray,28.0,DEN,PG,56.0,56.0,35.1,8.9,18.4,0.481,3.1,7.4,0.423,5.7,11.0,0.519,0.566,4.5,5.1,0.877,0.4,4.0,4.4,7.3,1.0,0.4,2.3,1.6,25.3,AS
16,17.0,Devin Booker,29.0,PHO,SG,44.0,44.0,33.3,8.1,17.9,0.454,1.7,5.5,0.308,6.5,12.5,0.518,0.501,6.8,7.9,0.861,0.8,3.1,3.9,6.1,0.9,0.3,3.3,2.7,24.7,AS
17,18.0,James Harden,36.0,2TM,PG,52.0,52.0,35.0,7.1,16.7,0.428,3.1,8.4,0.364,4.1,8.3,0.493,0.52,7.1,8.0,0.892,0.6,4.2,4.9,8.1,1.2,0.4,3.7,2.0,24.5,
18,18.0,James Harden,36.0,LAC,PG,44.0,44.0,35.4,7.3,17.5,0.419,3.1,8.8,0.347,4.3,8.7,0.492,0.506,7.7,8.5,0.901,0.6,4.2,4.8,8.1,1.3,0.4,3.7,1.9,25.4,
19,18.0,James Harden,36.0,CLE,PG,8.0,8.0,32.6,6.0,12.0,0.5,3.0,6.0,0.5,3.0,6.0,0.5,0.625,4.3,5.3,0.81,0.8,4.4,5.1,8.0,0.8,0.6,3.5,2.8,19.3,
20,19.0,Michael Porter Jr.,27.0,BRK,SF,48.0,48.0,32.6,8.6,18.3,0.473,3.4,9.2,0.375,5.2,9.1,0.571,0.567,3.7,4.4,0.856,1.3,5.7,7.0,3.1,1.0,0.2,2.4,2.2,24.5,
21,20.0,Deni Avdija,25.0,POR,SF,48.0,48.0,33.5,7.5,16.1,0.463,2.1,6.2,0.341,5.4,9.9,0.54,0.529,7.4,9.2,0.8,1.1,5.9,7.0,6.6,0.8,0.6,3.8,2.6,24.4,AS
22,21.0,Austin Reaves,27.0,LAL,SG,34.0,28.0,33.2,7.5,14.9,0.502,2.4,6.5,0.374,5.0,8.4,0.602,0.584,6.7,7.6,0.876,0.6,4.1,4.7,5.4,1.0,0.3,3.1,2.1,24.1,
23,22.0,Pascal Siakam,31.0,IND,PF,52.0,52.0,33.7,9.0,18.6,0.483,1.8,4.9,0.373,7.2,13.7,0.523,0.533,4.1,6.0,0.682,1.5,5.2,6.8,3.9,1.1,0.4,2.2,2.4,23.9,AS
24,23.0,Victor Wembanyama,22.0,SAS,C,46.0,37.0,29.2,8.1,16.2,0.501,1.7,5.0,0.341,6.4,11.1,0.573,0.554,5.8,7.1,0.817,2.0,9.2,11.2,2.9,1.0,2.9,2.6,2.7,23.7,AS
25,24.0,Keyonte George,22.0,UTA,PG,49.0,49.0,33.7,7.4,16.2,0.456,2.5,6.7,0.371,4.9,9.5,0.516,0.533,6.4,7.2,0.892,0.5,3.4,3.9,6.5,1.1,0.3,3.2,2.3,23.6,
26,25.0,Jalen Johnson,24.0,ATL,SF,55.0,55.0,35.1,8.4,17.1,0.493,1.5,4.5,0.34,6.9,12.5,0.548,0.538,4.4,5.6,0.779,1.5,9.1,10.6,7.9,1.3,0.5,3.4,2.2,22.7,AS
27,26.0,Norman Powell,32.0,MIA,SG,49.0,49.0,30.0,7.5,15.8,0.473,2.8,7.3,0.39,4.7,8.6,0.543,0.563,4.7,5.7,0.827,0.4,3.3,3.6,2.6,1.2,0.2,2.0,2.1,22.5,AS
28,27.0,Trey Murphy III,25.0,NOP,SF,53.0,53.0,35.5,7.7,16.3,0.475,3.2,8.6,0.378,4.5,7.7,0.583,0.575,3.3,3.7,0.892,1.0,4.6,5.6,3.8,1.5,0.3,1.8,2.1,22.0,
29,28.0,Brandon Ingram,28.0,TOR,SF,58.0,58.0,34.0,8.2,17.3,0.473,1.8,4.8,0.37,6.4,12.4,0.513,0.524,3.8,4.5,0.829,0.8,5.0,5.8,3.8,0.8,0.8,2.5,2.0,21.9,AS
30,29.0,Paolo Banchero,23.0,ORL,PF,49.0,49.0,34.9,7.2,16.0,0.452,1.2,3.8,0.31,6.1,12.2,0.496,0.489,6.2,8.0,0.772,1.1,7.4,8.5,5.0,0.7,0.7,2.9,1.9,21.8,
31,30.0,LeBron James,41.0,LAL,SF,42.0,42.0,33.1,8.1,16.2,0.499,1.5,4.6,0.32,6.6,11.5,0.571,0.545,4.0,5.3,0.751,0.7,4.9,5.6,7.0,1.1,0.6,3.0,1.3,21.6,AS
32,31.0,Julius Randle,31.0,MIN,PF,61.0,61.0,33.4,7.5,15.5,0.484,1.5,4.6,0.318,6.0,10.9,0.554,0.531,5.0,6.1,0.819,1.7,5.2,6.9,5.4,1.1,0.3,2.6,2.9,21.5,
33,32.0,Zion Williamson,25.0,NOP,PF,45.0,38.0,29.5,8.0,13.7,0.585,0.0,0.1,0.25,8.0,13.6,0.587,0.586,5.4,7.6,0.716,2.2,3.6,5.8,3.5,1.1,0.6,2.1,2.2,21.5,
34,33.0,Shaedon Sharpe,22.0,POR,SG,48.0,42.0,30.0,8.0,17.6,0.456,2.1,6.2,0.34,5.9,11.5,0.518,0.515,3.2,4.0,0.784,1.0,3.4,4.4,2.6,1.4,0.1,3.0,2.0,21.4,
35,34.0,Franz Wagner,24.0,ORL,SF,28.0,26.0,31.8,7.3,15.3,0.479,1.5,4.1,0.365,5.8,11.2,0.521,0.528,5.1,6.2,0.828,1.5,4.3,5.8,3.6,1.1,0.3,1.7,2.3,21.3,
36,35.0,Tyler Herro,26.0,MIA,SG,16.0,11.0,30.4,7.9,16.1,0.49,2.3,6.1,0.367,5.6,9.9,0.566,0.56,3.0,3.3,0.906,0.5,3.8,4.3,3.4,0.9,0.4,1.9,1.8,21.0,
37,36.0,Brandon Miller,23.0,CHO,SF,44.0,44.0,30.1,7.2,16.9,0.427,3.2,8.5,0.376,4.0,8.5,0.477,0.521,3.3,3.8,0.886,1.1,3.6,4.8,3.4,1.0,0.8,2.9,2.7,21.0,
38,37.0,Dillon Brooks,30.0,PHO,SF,50.0,50.0,30.6,7.7,17.4,0.44,2.3,6.8,0.343,5.3,10.6,0.502,0.507,3.2,3.8,0.856,0.8,2.9,3.7,1.8,1.0,0.2,1.8,3.3,20.9,
39,38.0,Anthony Davis,32.0,DAL,PF,20.0,20.0,31.3,8.5,16.7,0.506,0.5,1.9,0.27,8.0,14.9,0.535,0.521,3.0,4.1,0.728,3.1,8.0,11.1,2.8,1.1,1.7,2.1,2.1,20.4,
40,39.0,Cooper Flagg,19.0,DAL,SF,49.0,49.0,34.1,7.8,16.1,0.482,1.1,3.5,0.302,6.7,12.6,0.532,0.515,3.8,4.7,0.804,1.1,5.4,6.6,4.1,1.2,0.8,2.2,2.1,20.4,
41,40.0,Desmond Bane,27.0,ORL,SG,59.0,59.0,34.2,7.3,15.2,0.484,2.1,5.3,0.39,5.3,9.8,0.534,0.553,3.5,3.8,0.912,1.3,2.9,4.2,4.1,1.0,0.5,2.1,3.1,20.3,
42,41.0,Alperen Şengün,23.0,HOU,C,52.0,52.0,33.8,7.9,15.9,0.499,0.5,1.8,0.292,7.4,14.0,0.526,0.516,3.8,5.6,0.692,3.1,6.0,9.1,6.3,1.3,1.1,3.2,3.2,20.2,AS
43,42.0,Jimmy Butler,36.0,GSW,SF,38.0,38.0,31.1,6.3,12.2,0.519,0.8,2.2,0.376,5.5,9.9,0.552,0.554,6.5,7.6,0.864,2.3,3.2,5.6,4.9,1.4,0.2,1.6,1.2,20.0,
44,43.0,Nickeil Alexander-Walker,27.0,ATL,SG,59.0,52.0,33.1,6.7,15.4,0.432,3.0,8.1,0.372,3.7,7.3,0.499,0.53,3.4,3.9,0.89,0.6,2.9,3.6,3.8,1.2,0.6,2.1,2.2,19.8,
45,44.0,Karl-Anthony Towns,30.0,NYK,C,57.0,57.0,31.2,6.6,13.8,0.478,1.6,4.3,0.368,5.0,9.5,0.528,0.536,5.0,5.8,0.855,3.1,8.7,11.8,2.8,0.9,0.6,2.6,3.5,19.8,AS
46,45.0,Ty Jerome,28.0,MEM,SG,8.0,8.0,21.0,6.5,12.6,0.515,2.6,6.4,0.412,3.9,6.3,0.62,0.619,4.0,4.6,0.865,0.8,2.0,2.8,5.6,1.3,0.3,1.8,2.1,19.6,
47,46.0,Ja Morant,26.0,MEM,PG,20.0,20.0,28.5,6.6,16.1,0.41,1.0,4.3,0.235,5.6,11.9,0.473,0.441,5.3,5.9,0.897,0.4,2.9,3.3,8.1,1.0,0.3,3.6,2.0,19.5,
48,47.0,Jaren Jackson Jr.,26.0,2TM,C,48.0,48.0,30.3,7.1,15.0,0.476,1.8,4.9,0.357,5.4,10.1,0.533,0.534,3.4,4.2,0.803,0.9,4.8,5.7,2.0,1.1,1.4,2.2,3.7,19.4,
49,47.0,Jaren Jackson Jr.,26.0,MEM,C,45.0,45.0,30.7,7.1,14.9,0.475,1.8,4.9,0.359,5.3,10.0,0.531,0.534,3.3,4.2,0.797,0.9,4.8,5.8,1.9,1.0,1.5,2.2,3.8,19.2,
50,47.0,Jaren Jackson Jr.,26.0,UTA,C,3.0,3.0,24.0,8.0,16.3,0.49,1.7,5.0,0.333,6.3,11.3,0.559,0.541,4.7,5.3,0.875,0.3,4.0,4.3,2.7,2.0,0.3,2.3,3.0,22.3,
51,48.0,LaMelo Ball,24.0,CHO,PG,51.0,48.0,27.6,6.8,16.9,0.401,3.5,9.5,0.365,3.3,7.4,0.448,0.504,2.3,2.5,0.898,0.8,4.0,4.8,7.4,1.1,0.2,2.8,2.5,19.3,
52,49.0,Kon Knueppel,20.0,CHO,SF,60.0,59.0,31.9,6.6,13.5,0.489,3.5,8.0,0.44,3.1,5.5,0.56,0.619,2.5,2.9,0.878,1.2,4.2,5.5,3.5,0.8,0.2,2.2,2.2,19.3,
53,50.0,Trae Young,27.0,ATL,PG,10.0,10.0,28.0,5.6,13.5,0.415,1.8,5.9,0.305,3.8,7.6,0.5,0.481,6.3,7.3,0.863,0.0,1.5,1.5,8.9,1.0,0.1,2.6,2.0,19.3,
54,51.0,Zach LaVine,30.0,SAC,SG,39.0,37.0,31.4,6.7,14.0,0.479,2.5,6.5,0.39,4.2,7.5,0.556,0.569,3.2,3.6,0.88,0.2,2.6,2.8,2.3,0.7,0.3,1.9,2.1,19.2,
55,52.0,Scottie Barnes,24.0,TOR,PF,58.0,58.0,34.2,7.4,14.9,0.501,0.9,3.0,0.291,6.6,11.9,0.553,0.53,3.3,4.0,0.827,2.1,6.1,8.2,5.5,1.4,1.6,2.7,2.9,19.1,AS
56,53.0,De'Aaron Fox,28.0,SAS,PG,51.0,51.0,31.6,7.0,14.6,0.481,1.9,5.5,0.348,5.1,9.1,0.563,0.547,2.8,3.7,0.766,0.5,3.2,3.7,6.2,1.2,0.3,2.4,2.2,18.8,AS
57,54.0,CJ McCollum,34.0,2TM,PG,57.0,41.0,29.9,6.8,15.1,0.452,2.6,6.7,0.38,4.3,8.4,0.509,0.537,2.5,3.2,0.78,0.8,2.7,3.4,3.5,0.8,0.4,1.7,1.9,18.7,
58,54.0,CJ McCollum,34.0,WAS,SG,35.0,35.0,30.9,6.9,15.1,0.454,2.7,7.0,0.393,4.1,8.1,0.505,0.544,2.3,2.9,0.804,0.7,2.9,3.5,3.6,0.7,0.3,1.7,2.1,18.8,
59,54.0,CJ McCollum,34.0,ATL,PG,22.0,6.0,28.2,6.8,15.2,0.449,2.3,6.4,0.357,4.5,8.8,0.515,0.524,2.7,3.6,0.75,0.9,2.3,3.2,3.5,0.9,0.6,1.8,1.5,18.6,
60,55.0,Bam Adebayo,28.0,MIA,C,53.0,53.0,31.4,6.6,14.8,0.449,1.7,4.9,0.344,4.9,9.9,0.501,0.506,3.7,4.8,0.765,2.1,7.8,9.9,2.8,1.0,0.7,1.8,1.6,18.6,
61,56.0,Jalen Duren,22.0,DET,C,49.0,49.0,28.2,7.2,11.4,0.631,0.0,0.0,,7.2,11.4,0.631,0.631,4.0,5.5,0.731,3.9,6.9,10.7,1.8,0.9,0.8,1.8,2.8,18.5,AS
62,57.0,Jerami Grant,31.0,POR,PF,46.0,27.0,29.3,5.7,12.9,0.44,2.3,6.0,0.377,3.4,6.9,0.495,0.528,4.9,5.9,0.827,0.9,2.5,3.5,2.3,0.7,0.6,2.0,2.5,18.5,
63,58.0,DeMar DeRozan,36.0,SAC,PF,62.0,62.0,31.7,6.3,12.9,0.493,0.7,2.0,0.336,5.7,10.8,0.522,0.519,4.9,5.6,0.868,0.5,2.6,3.1,4.0,1.1,0.3,1.1,2.0,18.2,
64,59.0,Bennedict Mathurin,23.0,2TM,SF,35.0,25.0,31.5,5.6,13.2,0.424,1.8,5.2,0.344,3.8,8.0,0.477,0.492,5.0,5.7,0.871,1.0,4.5,5.5,2.4,0.8,0.2,2.3,2.8,18.0,
65,59.0,Bennedict Mathurin,23.0,IND,SF,28.0,24.0,31.8,5.5,12.8,0.433,2.1,5.6,0.372,3.5,7.2,0.48,0.514,4.6,5.2,0.884,0.8,4.6,5.4,2.3,0.6,0.1,2.3,2.7,17.8,
