,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Denver Nuggets,68,242.9,42.8,87.0,0.492,13.8,35.3,0.391,29.0,51.7,0.562,21.3,26.3,0.808,9.6,33.6,43.3,28.2,7.0,4.0,13.0,19.0,120.7
1,2.0,Miami Heat,68,240.4,43.5,93.6,0.465,13.4,37.3,0.36,30.1,56.4,0.533,20.0,25.3,0.791,12.1,34.9,47.0,28.6,9.2,4.3,13.9,18.9,120.4
2,3.0,Cleveland Cavaliers,68,241.1,43.2,90.5,0.478,14.6,40.4,0.361,28.6,50.1,0.572,18.1,23.3,0.774,11.9,32.3,44.2,28.3,8.7,5.2,14.2,19.8,119.1
3,4.0,San Antonio Spurs,67,240.4,42.9,89.3,0.48,13.5,37.8,0.358,29.3,51.4,0.57,19.6,25.1,0.78,11.2,35.3,46.5,27.4,7.6,5.4,13.6,19.2,118.8
4,5.0,Minnesota Timberwolves,68,241.1,42.7,88.0,0.485,13.9,37.3,0.372,28.8,50.7,0.568,19.3,25.7,0.749,11.0,33.3,44.4,26.1,8.6,5.6,14.9,21.3,118.5
5,6.0,Oklahoma City Thunder,68,242.2,42.8,89.0,0.481,13.6,37.9,0.36,29.1,51.1,0.57,19.4,23.5,0.822,9.4,34.4,43.8,25.5,9.7,5.5,12.5,19.2,118.5
6,7.0,Atlanta Hawks,67,240.7,43.3,91.7,0.472,14.4,39.1,0.368,28.9,52.6,0.549,16.8,21.7,0.774,10.7,32.7,43.4,30.3,9.4,4.7,14.2,19.6,117.7
7,8.0,Utah Jazz,68,242.2,42.0,90.3,0.465,12.9,37.1,0.348,29.0,53.1,0.547,20.4,25.6,0.798,11.9,31.9,43.8,29.4,8.6,3.7,15.6,21.6,117.3
8,9.0,Detroit Pistons,67,241.1,43.1,89.9,0.48,11.0,31.4,0.349,32.1,58.4,0.55,20.1,26.4,0.759,13.3,32.5,45.8,26.9,10.5,6.4,15.1,22.3,117.2
9,10.0,New York Knicks,69,241.1,42.6,90.1,0.473,14.5,39.0,0.372,28.1,51.1,0.55,17.1,21.7,0.789,12.9,33.3,46.2,27.4,8.0,4.1,13.7,20.4,116.9
10,11.0,Los Angeles Lakers,67,240.4,42.1,84.3,0.499,12.1,33.9,0.358,29.9,50.4,0.594,20.2,26.3,0.768,9.6,31.5,41.1,25.7,8.2,4.2,14.5,18.7,116.5
11,12.0,Orlando Magic,66,242.3,41.2,88.5,0.465,11.7,33.8,0.346,29.5,54.7,0.539,21.7,27.1,0.799,11.0,32.8,43.8,26.6,8.6,5.0,13.7,20.9,115.7
12,13.0,Memphis Grizzlies,66,240.8,41.8,90.7,0.461,13.7,38.4,0.356,28.1,52.3,0.537,18.5,23.4,0.792,11.7,31.9,43.6,28.5,8.7,5.1,15.2,20.3,115.7
13,14.0,Chicago Bulls,67,241.1,42.2,90.1,0.468,14.6,40.1,0.363,27.6,49.9,0.553,16.8,21.5,0.781,10.3,34.8,45.1,28.8,7.4,5.0,15.1,18.7,115.7
14,15.0,Philadelphia 76ers,68,242.9,41.4,89.9,0.46,12.3,35.4,0.348,29.1,54.5,0.533,20.6,25.4,0.811,11.8,31.3,43.2,24.4,9.4,5.7,13.9,20.3,115.6
15,16.0,Charlotte Hornets,68,241.1,40.7,89.0,0.457,16.1,42.6,0.378,24.6,46.4,0.53,18.0,22.0,0.819,12.8,33.3,46.1,26.4,7.1,4.6,15.6,19.1,115.5
16,17.0,New Orleans Pelicans,68,241.8,42.0,90.5,0.465,11.2,32.3,0.346,30.9,58.1,0.531,20.2,25.6,0.787,12.4,31.7,44.0,25.1,8.8,5.0,14.3,20.0,115.4
17,18.0,Portland Trail Blazers,68,240.7,40.8,90.4,0.451,14.4,42.5,0.338,26.4,47.9,0.551,19.2,25.2,0.763,14.1,31.7,45.8,24.9,8.2,5.4,17.3,20.0,115.1
18,19.0,Golden State Warriors,67,241.5,41.1,89.7,0.458,16.3,45.4,0.358,24.9,44.3,0.561,16.6,20.6,0.805,11.5,31.4,42.9,29.1,9.8,4.4,15.4,19.8,115.1
19,20.0,Boston Celtics,67,240.7,42.1,90.8,0.464,15.4,42.6,0.361,26.8,48.3,0.555,14.6,18.2,0.8,12.8,33.6,46.4,24.5,7.2,5.3,12.2,19.2,114.2
20,21.0,Houston Rockets,66,243.0,42.5,89.7,0.474,11.2,30.8,0.364,31.3,58.8,0.532,17.9,23.5,0.759,15.2,33.0,48.2,24.7,8.7,5.9,15.6,18.6,114.1
21,22.0,Toronto Raptors,67,241.5,42.1,89.0,0.473,11.4,33.0,0.345,30.7,56.0,0.549,18.0,23.0,0.782,11.2,31.3,42.5,28.7,8.6,4.8,13.7,20.8,113.6
