,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Year
0,Luka Dončić,Los Angeles Lakers,52.0,48.7,2.0,0.559,27.5,0.614,7.5,8.6,5.0,0.6094,64.0,2026
1,Shai Gilgeous-Alexander,Oklahoma City Thunder,53.0,42.4,2.2,0.592,31.2,0.665,12.1,11.7,6.1,0.7692,65.0,2026
2,Anthony Edwards,Minnesota Timberwolves,54.0,38.3,2.2,0.58,22.6,0.621,6.4,5.2,3.5,0.625,64.0,2026
3,Tyrese Maxey,Philadelphia 76ers,61.0,39.8,2.8,0.537,22.7,0.589,8.1,5.8,4.6,0.5397,63.0,2026
4,Nikola Jokić,Denver Nuggets,48.0,51.6,2.2,0.627,33.6,0.68,11.3,14.6,6.9,0.6094,64.0,2026
5,Jaylen Brown,Boston Celtics,57.0,41.0,1.4,0.526,22.4,0.571,5.6,3.5,2.7,0.6719,64.0,2026
6,Donovan Mitchell,Cleveland Cavaliers,56.0,38.9,1.9,0.567,23.4,0.614,6.7,5.6,3.6,0.6094,64.0,2026
7,Kawhi Leonard,Los Angeles Clippers,49.0,38.0,2.5,0.563,27.8,0.623,6.9,8.2,4.1,0.4921,63.0,2026
8,Giannis Antetokounmpo,Milwaukee Bucks,33.0,42.9,1.7,0.651,33.3,0.67,5.0,10.2,3.0,0.4286,63.0,2026
9,Stephen Curry,Golden State Warriors,39.0,35.5,1.5,0.585,22.8,0.636,4.0,5.4,2.3,0.5079,63.0,2026
10,Lauri Markkanen,Utah Jazz,42.0,35.7,1.5,0.548,21.4,0.608,3.7,2.5,1.6,0.2969,64.0,2026
11,Joel Embiid,Philadelphia 76ers,33.0,38.0,1.7,0.53,25.0,0.606,3.5,4.6,1.7,0.5397,63.0,2026
12,Jalen Brunson,New York Knicks,60.0,36.1,0.8,0.534,20.0,0.581,7.1,3.0,2.6,0.6308,65.0,2026
13,Kevin Durant,Houston Rockets,60.0,36.1,1.7,0.574,20.8,0.632,8.0,4.0,3.3,0.619,63.0,2026
14,Jamal Murray,Denver Nuggets,59.0,37.0,1.3,0.572,22.4,0.619,7.3,4.3,3.3,0.6094,64.0,2026
15,Cade Cunningham,Detroit Pistons,56.0,40.7,2.3,0.508,21.6,0.561,7.0,6.0,4.0,0.7143,63.0,2026
16,Devin Booker,Phoenix Suns,48.0,34.9,1.2,0.499,19.7,0.578,4.4,1.7,1.5,0.5781,64.0,2026
17,Deni Avdija,Portland Trail Blazers,49.0,38.0,1.4,0.526,20.6,0.603,5.1,4.4,2.6,0.4769,65.0,2026
18,Michael Porter Jr.,Brooklyn Nets,51.0,34.6,1.4,0.556,20.1,0.595,3.2,3.1,2.1,0.254,63.0,2026
19,James Harden,Cleveland Cavaliers,54.0,37.2,1.6,0.516,21.2,0.601,5.9,3.8,2.8,0.6094,64.0,2026
