,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
0,1.0,Michael Finley,24.0,DAL,SF,82.0,82.0,3394.0,19.3,0.522,0.162,0.276,4.8,9.6,7.2,22.7,2.1,0.6,11.5,25.7,5.5,2.0,7.5,0.106,3.0,-0.6,2.5,3.8,MVP-18
1,2.0,Glen Rice,30.0,CHH,SF,82.0,82.0,3295.0,17.4,0.568,0.216,0.364,3.3,9.6,6.5,9.9,1.3,0.5,10.2,25.1,7.4,2.0,9.3,0.136,2.4,-1.6,0.9,2.4,"MVP-11,AS,NBA3"
2,3.0,Grant Hill,25.0,DET,SF,81.0,81.0,3294.0,21.2,0.52,0.015,0.475,3.3,19.3,11.3,31.5,2.4,1.2,14.8,27.3,5.2,5.1,10.2,0.149,3.3,1.5,4.7,5.6,"MVP-9,AS,NBA2"
3,4.0,Ray Allen,22.0,MIL,SG,82.0,82.0,3287.0,16.2,0.539,0.28,0.297,4.7,10.4,7.5,19.3,1.8,0.3,15.0,24.3,4.7,2.3,7.0,0.102,1.9,-0.9,1.0,2.5,
4,5.0,Antoine Walker,21.0,BOS,PF,82.0,82.0,3268.0,17.8,0.481,0.171,0.277,9.0,22.3,15.1,15.4,2.2,1.4,13.2,29.2,0.8,4.0,4.8,0.07,1.6,-1.0,0.6,2.2,"MVP-12,AS"
5,6.0,Kevin Garnett,21.0,MIN,PF,82.0,82.0,3222.0,20.4,0.527,0.012,0.257,7.9,19.7,13.9,18.2,2.2,3.3,11.8,22.5,5.3,4.2,9.6,0.143,2.6,1.5,4.2,5.0,"DPOY-11,AS"
6,7.0,Tim Duncan,21.0,SAS,PF,82.0,82.0,3204.0,22.6,0.577,0.008,0.375,10.5,23.8,17.6,13.7,0.9,4.5,15.7,26.0,5.6,7.2,12.8,0.192,2.5,2.0,4.6,5.3,"MVP-5,ROY-1,DPOY-5,AS,NBA1,DEF2"
7,8.0,Wesley Person,26.0,CLE,SG,82.0,82.0,3198.0,15.1,0.583,0.467,0.178,2.5,11.3,7.0,10.3,2.2,1.2,9.6,16.5,5.3,5.0,10.3,0.155,2.4,1.4,3.8,4.7,
8,9.0,Michael Jordan,34.0,CHI,SG,82.0,82.0,3181.0,25.2,0.533,0.067,0.381,4.7,12.5,8.5,18.0,2.4,1.0,7.7,33.7,10.4,5.4,15.8,0.238,5.9,1.0,6.9,7.1,"MVP-1,DPOY-4,AS,NBA1,DEF1"
9,10.0,Allen Iverson,22.0,PHI,PG,80.0,80.0,3150.0,20.4,0.535,0.167,0.38,3.1,7.7,5.4,30.6,3.0,0.6,12.9,26.9,6.3,2.8,9.0,0.138,3.5,0.1,3.6,4.5,
10,11.0,Anthony Mason,31.0,CHH,PF,81.0,80.0,3148.0,16.4,0.552,0.005,0.526,6.9,24.7,15.8,17.3,1.2,0.4,13.4,16.0,5.7,3.5,9.3,0.141,1.7,0.6,2.3,3.4,DPOY-9
11,12.0,Gary Payton,29.0,SEA,PG,82.0,82.0,3145.0,21.6,0.544,0.311,0.293,3.0,11.2,7.1,36.7,3.1,0.4,13.7,24.6,8.5,4.0,12.5,0.19,4.4,0.7,5.1,5.7,"MVP-3,DPOY-2,AS,NBA1,DEF1"
12,13.0,Jason Kidd,24.0,PHO,PG,82.0,82.0,3118.0,16.4,0.502,0.271,0.243,4.1,14.7,9.5,35.6,2.7,0.6,21.5,17.6,3.2,4.8,8.0,0.123,1.5,1.6,3.1,4.0,"MVP-13,AS"
