,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,San Antonio Spurs*,30.1,37.0,13.0,39,11,8.06,-0.94,7.12,104.0,95.0,9.0,88.6,0.371,0.137,0.523,,0.479,14.6,30.4,0.259,,0.423,13.8,69.5,0.198,,Alamodome,527357,21094
1,2.0,Utah Jazz*,30.3,37.0,13.0,37,13,6.52,-0.99,5.54,105.8,98.4,7.4,87.0,0.417,0.107,0.545,,0.485,16.0,30.0,0.32,,0.441,14.4,70.4,0.242,,Delta Center,493120,19725
2,3.0,Portland Trail Blazers*,27.4,35.0,15.0,36,14,6.36,-0.69,5.67,104.8,97.7,7.1,89.2,0.341,0.171,0.521,,0.473,14.5,31.8,0.253,,0.445,14.9,71.8,0.233,,Rose Garden Arena,486556,19462
3,4.0,Miami Heat*,30.3,33.0,17.0,35,15,4.96,0.15,5.11,104.7,98.9,5.8,84.8,0.354,0.226,0.54,,0.494,15.3,27.3,0.26,,0.439,13.6,71.0,0.226,,Miami Arena,378813,15153
4,5.0,Indiana Pacers*,30.8,33.0,17.0,32,18,3.74,0.12,3.86,108.7,104.4,4.3,86.4,0.318,0.207,0.537,,0.486,12.8,28.7,0.253,,0.46,12.7,69.9,0.236,,Market Square Arena,404536,16181
5,6.0,Detroit Pistons*,27.7,29.0,21.0,32,18,3.42,0.55,3.97,104.2,100.3,3.9,86.3,0.345,0.183,0.528,,0.48,15.6,30.5,0.256,,0.468,15.4,72.0,0.259,,The Palace of Auburn Hills,444585,17783
6,7.0,Atlanta Hawks*,29.6,31.0,19.0,31,19,2.9,-0.08,2.82,100.5,97.1,3.4,85.3,0.378,0.171,0.492,,0.436,14.5,33.1,0.277,,0.437,13.4,72.1,0.202,,Georgia Dome,331831,17131
7,8.0,Los Angeles Lakers*,27.5,31.0,19.0,30,20,3.02,-0.35,2.68,107.6,104.3,3.3,91.6,0.382,0.174,0.538,,0.498,14.1,30.6,0.261,,0.468,13.3,70.2,0.267,,Great Western Forum,430007,17200
8,9.0,Orlando Magic*,28.7,33.0,17.0,30,20,2.6,0.51,3.11,100.3,97.4,2.9,88.8,0.318,0.171,0.498,,0.456,15.4,32.6,0.222,,0.473,16.7,70.8,0.181,,Orlando Arena,411091,16444
