,PLAYER_NAME,TEAM_ABBREVIATION,PIE
273,LeBron James,MIA,0.201
134,Dwight Howard,ORL,0.184
252,Kevin Love,MIN,0.184
335,Orien Greene,NJN,0.176
128,Dirk Nowitzki,DAL,0.169
78,Chris Paul,NOH,0.169
251,Kevin Garnett,BOS,0.168
124,Derrick Rose,CHI,0.165
135,Dwyane Wade,MIA,0.164
449,Zach Randolph,MEM,0.162
42,Blake Griffin,LAC,0.16
341,Pau Gasol,LAL,0.159
250,Kevin Durant,OKC,0.159
257,Kobe Bryant,LAL,0.156
417,Tim Duncan,SAS,0.154
377,Russell Westbrook,OKC,0.154
406,Steve Nash,PHX,0.152
5,Al Horford,ATL,0.15
120,Deron Williams,NJN,0.144
267,Lamar Odom,LAL,0.143
64,Carmelo Anthony,NYK,0.143
21,Andrew Bynum,LAL,0.143
62,Carlos Boozer,CHI,0.142
266,LaMarcus Aldridge,POR,0.141
344,Paul Pierce,BOS,0.141
73,Chris Bosh,MIA,0.139
422,Tony Parker,SAS,0.139
110,David West,NOH,0.138
259,Kris Humphries,NJN,0.138
290,Manu Ginobili,SAS,0.138
11,Amar'e Stoudemire,NYK,0.137
137,Earl Boykins,MIL,0.136
353,Ramon Sessions,CLE,0.135
243,Josh Smith,ATL,0.135
6,Al Jefferson,UTA,0.134
446,Yao Ming,HOU,0.133
292,Marcin Gortat,PHX,0.132
327,Nene,DEN,0.132
352,Rajon Rondo,BOS,0.131
253,Kevin Martin,HOU,0.13
343,Paul Millsap,UTA,0.129
215,Jeremy Evans,UTA,0.128
221,Joakim Noah,CHI,0.128
16,Andre Miller,POR,0.126
378,Ryan Anderson,ORL,0.126
15,Andre Iguodala,PHI,0.126
20,Andrew Bogut,MIL,0.126
281,Luis Scola,HOU,0.125
432,Tyrus Thomas,CHA,0.124
72,Chris Andersen,DEN,0.123
394,Shawn Marion,DAL,0.123
414,Thaddeus Young,PHI,0.123
376,Rudy Gay,MEM,0.122
71,Chauncey Billups,NYK,0.122
279,Lou Williams,PHI,0.122
77,Chris Kaman,LAC,0.121
402,Stephen Curry,GSW,0.121
126,Devin Harris,UTA,0.121
433,Tyson Chandler,DAL,0.12
109,David Lee,GSW,0.119
45,Brad Miller,HOU,0.119
295,Marcus Camby,POR,0.118
147,Eric Gordon,LAC,0.118
100,Danny Granger,IND,0.118
238,Jose Calderon,TOR,0.118
232,John Wall,WAS,0.117
163,Gerald Wallace,POR,0.117
264,Kyle Weaver,UTA,0.116
