,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Oklahoma City Thunder,25.2,40.0,12.0,43,9,12.31,-0.67,11.64,119.4,107.2,12.2,99.6,0.27,0.418,0.603,,0.563,11.0,21.4,0.223,,0.514,15.0,74.0,0.195,,Paycom Center,491797,18203
1,2.0,Boston Celtics,26.7,33.0,18.0,36,15,7.33,-1.11,6.22,121.3,113.6,7.7,95.2,0.202,0.465,0.582,,0.554,10.8,29.3,0.16,,0.524,12.2,73.8,0.205,,TD Garden,459744,19156
2,3.0,Detroit Pistons,25.9,37.0,12.0,35,14,7.53,-1.05,6.48,116.9,109.4,7.5,100.1,0.3,0.353,0.578,,0.541,13.2,30.4,0.226,,0.515,15.2,73.9,0.269,,Little Caesars Arena,508273,19516
3,4.0,New York Knicks,28.3,33.0,18.0,34,17,6.06,-0.78,5.28,120.3,114.2,6.1,97.8,0.241,0.438,0.588,,0.555,12.0,30.0,0.191,,0.54,12.8,76.4,0.214,,Madison Square Garden (IV),534502,19796
4,5.0,Houston Rockets,26.6,31.0,18.0,32,17,5.43,-0.49,4.94,118.6,113.0,5.6,96.0,0.27,0.335,0.568,,0.534,13.0,36.3,0.204,,0.529,12.0,74.5,0.188,,Toyota Center,397275,18058
5,6.0,San Antonio Spurs,25.7,34.0,16.0,33,17,5.12,0.22,5.34,116.8,111.7,5.1,99.8,0.288,0.421,0.584,,0.545,12.1,25.7,0.225,,0.528,12.1,77.1,0.184,,Frost Bank Center,447874,18661
6,7.0,Minnesota Timberwolves,28.0,32.0,20.0,33,19,4.87,-0.63,4.23,118.0,113.2,4.8,100.7,0.289,0.427,0.595,,0.563,12.5,26.2,0.216,,0.531,12.9,75.0,0.215,,Target Center,418726,16749
7,8.0,Denver Nuggets,27.7,33.0,19.0,32,20,3.87,-0.84,3.03,122.0,118.0,4.0,97.3,0.293,0.402,0.613,,0.573,11.4,23.3,0.239,,0.541,10.6,73.6,0.201,,Ball Arena,476066,19836
8,9.0,Cleveland Cavaliers,26.6,31.0,21.0,32,20,3.67,0.09,3.77,117.7,114.1,3.6,101.0,0.246,0.448,0.587,,0.554,12.4,27.1,0.191,,0.541,13.8,74.1,0.212,,Rocket Arena,544096,19432
9,10.0,Phoenix Suns,27.3,31.0,20.0,29,22,2.47,0.08,2.55,115.9,113.4,2.5,98.2,0.233,0.443,0.576,,0.542,13.3,29.0,0.185,,0.539,14.9,71.1,0.218,,Mortgage Matchup Center,409704,17071
10,11.0,Golden State Warriors,29.2,27.0,24.0,29,22,2.25,0.06,2.32,115.7,113.4,2.3,100.1,0.245,0.505,0.589,,0.553,13.7,24.8,0.199,,0.541,14.0,72.9,0.199,,Chase Center,469664,18064
11,12.0,Miami Heat,26.5,27.0,25.0,29,23,1.88,0.56,2.44,114.7,112.9,1.8,104.3,0.261,0.39,0.572,,0.534,12.0,25.0,0.207,,0.535,13.3,74.5,0.192,,Kaseya Center,511460,19672
12,13.0,Charlotte Hornets,23.9,23.0,28.0,28,23,1.76,-0.73,1.03,117.7,116.0,1.7,97.9,0.256,0.462,0.586,,0.548,13.7,29.5,0.209,,0.547,11.3,76.7,0.182,,Spectrum Center,435355,18140
13,14.0,Philadelphia 76ers,25.5,29.0,21.0,27,23,1.56,-0.34,1.23,116.5,115.0,1.5,98.6,0.279,0.401,0.575,,0.532,11.9,27.4,0.227,,0.541,13.4,72.5,0.204,,Xfinity Mobile Arena,528824,18887
14,15.0,Toronto Raptors,24.7,30.0,22.0,28,24,1.31,-0.2,1.11,114.6,113.2,1.4,98.6,0.256,0.375,0.572,,0.536,12.3,25.9,0.199,,0.536,13.9,74.0,0.232,,Scotiabank Arena,486296,18704
15,16.0,Los Angeles Lakers,27.8,30.0,19.0,25,24,0.12,-0.61,-0.49,118.0,117.8,0.2,98.6,0.324,0.406,0.606,,0.569,13.4,24.8,0.249,,0.563,13.1,74.1,0.193,,Crypto.com Arena,378208,18910
16,17.0,Atlanta Hawks,24.9,25.0,27.0,25,27,-0.85,0.46,-0.39,114.4,115.2,-0.8,102.3,0.227,0.429,0.583,,0.553,12.5,22.1,0.176,,0.548,13.7,73.4,0.212,,State Farm Arena,373261,16229
17,18.0,Orlando Magic,24.6,25.0,24.0,23,26,-0.9,0.73,-0.17,114.5,115.4,-0.9,99.8,0.302,0.373,0.571,,0.526,12.2,25.9,0.24,,0.551,13.2,75.2,0.223,,Kia Center,440879,18657
18,19.0,Los Angeles Clippers,30.8,23.0,27.0,24,26,-0.82,0.28,-0.55,116.3,117.2,-0.9,95.9,0.292,0.426,0.6,,0.556,14.0,23.9,0.244,,0.545,12.0,73.0,0.197,,Intuit Dome,422756,17615
19,20.0,Memphis Grizzlies,25.4,20.0,29.0,22,27,-1.69,-0.06,-1.76,113.5,115.2,-1.7,101.1,0.258,0.422,0.568,,0.53,13.1,26.6,0.206,,0.543,12.6,74.0,0.194,,FedExForum,395974,15102
20,21.0,Dallas Mavericks,26.3,19.0,31.0,21,29,-2.66,-0.23,-2.89,110.9,113.5,-2.6,101.6,0.28,0.357,0.566,,0.532,12.9,22.7,0.208,,0.526,11.4,73.9,0.187,,American Airlines Center,557385,19220
21,22.0,Portland Trail Blazers,24.8,23.0,28.0,21,30,-2.86,1.13,-1.74,113.8,116.6,-2.8,100.9,0.286,0.463,0.565,,0.526,14.3,30.9,0.22,,0.545,13.0,71.9,0.215,,Moda Center,438265,16856
22,23.0,Chicago Bulls,25.8,24.0,27.0,21,30,-2.98,-0.4,-3.39,114.8,117.7,-2.9,101.6,0.241,0.44,0.586,,0.554,12.6,22.9,0.189,,0.549,10.7,76.3,0.191,,United Center,526301,20242
23,24.0,Milwaukee Bucks,27.5,20.0,29.0,19,30,-3.92,-0.14,-4.06,113.7,117.6,-3.9,98.0,0.235,0.437,0.592,,0.568,13.3,20.3,0.172,,0.548,11.8,74.3,0.218,,Fiserv Forum,389401,16930
24,25.0,New Orleans Pelicans,23.9,13.0,40.0,17,36,-6.49,0.87,-5.62,113.3,119.7,-6.4,100.0,0.276,0.354,0.56,,0.52,12.1,27.2,0.216,,0.564,12.9,71.8,0.201,,Smoothie King Center,445470,16499
25,26.0,Indiana Pacers,26.1,13.0,38.0,14,37,-7.73,0.82,-6.91,109.6,117.2,-7.6,100.8,0.268,0.407,0.555,,0.518,12.5,22.9,0.206,,0.548,12.1,74.4,0.24,,Gainbridge Fieldhouse,463339,16548
26,27.0,Brooklyn Nets,23.6,13.0,36.0,13,36,-7.8,0.36,-7.44,110.6,118.7,-8.1,96.2,0.272,0.476,0.563,,0.524,14.0,25.1,0.212,,0.566,12.5,74.5,0.209,,Barclays Center,419221,17468
27,28.0,Utah Jazz,24.4,16.0,35.0,14,37,-8.63,1.05,-7.58,114.9,123.3,-8.4,101.7,0.289,0.412,0.582,,0.54,13.4,25.9,0.231,,0.579,11.7,73.4,0.227,,Delta Center,491022,18186
28,29.0,Sacramento Kings,29.1,12.0,40.0,12,40,-10.08,1.35,-8.73,110.5,120.6,-10.1,99.4,0.264,0.34,0.561,,0.525,12.9,24.3,0.204,,0.563,12.3,72.0,0.219,,Golden 1 Center,425204,16354
29,30.0,Washington Wizards,23.7,13.0,36.0,11,38,-10.63,0.16,-10.47,110.7,121.2,-10.5,100.8,0.24,0.4,0.561,,0.527,13.5,25.6,0.185,,0.55,11.3,70.8,0.22,,Capital One Arena,412708,15873
30,,League Average,26.3,,,25,25,0.0,0.0,0.0,115.5,115.5,,99.5,0.266,0.414,0.579,,0.543,12.7,26.1,0.208,,0.543,12.7,73.9,0.208,,,456635,18028
